dataset,variable,label,type,length
ss,STUDYID,Study Identifier,Char,50
ss,DOMAIN,Domain Abbreviation,Char,50
ss,USUBJID,Unique Subject Identifier,Char,50
ss,SSSEQ,Sequence Number,Num,8
ss,SSTESTCD,Status Short Name,Char,50
ss,SSTEST,Status Name,Char,50
ss,SSORRES,Result or Finding Original Result,Char,50
ss,SSSTRESC,Character Result/Finding in Std Format,Char,50
ss,VISITNUM,Visit Number,Num,8
ss,VISIT,Visit Name,Char,50
ss,SSDTC,Date/Time of Assessment,Char,50
ds,STUDYID,Study Identifier,Char,12
ds,DOMAIN,Domain Abbreviation,Char,2
ds,USUBJID,Unique Subject Identifier,Char,8
ds,DSSEQ,Sequence Number,Num,8
ds,DSTERM,Reported Term for the Adverse Event,Char,200
ds,DSDECOD,Standardized Disposition Term,Char,40
ds,DSCAT,Category for Disposition Event,Char,50
ds,EPOCH,Epoch,Char,50
ds,DSSTDTC,Start Date/Time of Disposition Event,Char,19
