STUDYID,DOMAIN,VISITNUM,VISIT,ARMCD,TVSTRL,TVENRL
CDISCPILOT01,TV,1,SCREENING 1,ZAN_LOW,Informed Consent Obtained,Screening Assessments Completed
CDISCPILOT01,TV,2,SCREENING 2,ZAN_LOW,Day Before Initial Study Treatment,
CDISCPILOT01,TV,3,BASELINE,ZAN_LOW,Day of Initial Study Treatment,
CDISCPILOT01,TV,4,WEEK 2,ZAN_LOW,2 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,5,WEEK 4,ZAN_LOW,4 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,7,WEEK 6,ZAN_LOW,6 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,8,WEEK 8,ZAN_HIGH,8 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,9,WEEK 12,ZAN_HIGH,12 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,10,WEEK 16,ZAN_HIGH,16 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,11,WEEK 20,ZAN_HIGH,20 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,12,WEEK 24,PLACEBO,24 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,13,WEEK 26,PLACEBO,26 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,101,EARLY DISCONTINUATION,,Discontinuation Date Prior to Week 24,
CDISCPILOT01,TV,201,EARLY DISCONTINUATION RETRIEVAL,,Approximately 24 Weeks After Start of Study Treatment for Early Discontinuations,
