STUDYID,DOMAIN,TSSEQ,TSPARMCD,TSPARM,TSVAL
CDISCPILOT01,TS,1,DOSDUR,Dosing Duration,two weeks
CDISCPILOT01,TS,1,EXPENDTC,Experimental End Date,2008-02
CDISCPILOT01,TS,1,EXPSTDTC,Experimental Start Date,first day of year
CDISCPILOT01,TS,1,STSTDTC,Study Start Date,very first day of year
CDISCPILOT01,TS,1,TRMSAC,Time to Terminal Sacrifice,28 days 5 hours
CDISCPILOT01,TS,1,DOSENDTC,End Date/Time of Dose Interval,Mid february
CDISCPILOT01,TS,1,DOSSTDTC,Start Date/Time of Dose Interval,first day of year
CDISCPILOT01,TS,1,INTSAC,Time to Interim Sacrifice,14 days
CDISCPILOT01,TS,2,SLENGTH,Study Length,4 weeks
CDISCPILOT01,TS,3,RECSAC,Recovery Period,35 days
CDISCPILOT01,TS,4,STENDTC,Study End Date,mid february
CDISCPILOT01,TS,2,TTYPE,Trial Type,EFFICACY
