STUDYID,DOMAIN,TSSEQ,TSPARMCD,TSPARM,TSVAL
CDISCPILOT01,TS,1,DOSDUR,Dosing Duration,P28D
CDISCPILOT01,TS,1,EXPENDTC,Experimental End Date,2008-02-13T12:00
CDISCPILOT01,TS,1,EXPSTDTC,Experimental Start Date,2008-01-01
CDISCPILOT01,TS,1,STSTDTC,Study Start Date,2007-12-30
CDISCPILOT01,TS,1,TRMSAC,Time to Terminal Sacrifice,P28DT5H
CDISCPILOT01,TS,1,DOSENDTC,End Date/Time of Dose Interval,2008-02-13
CDISCPILOT01,TS,1,DOSSTDTC,Start Date/Time of Dose Interval,2001-01-01
CDISCPILOT01,TS,1,INTSAC,Time to Interim Sacrifice,P14D
CDISCPILOT01,TS,2,SLENGTH,Study Length,P4W
CDISCPILOT01,TS,3,RECSAC,Recovery Period,P35D
CDISCPILOT01,TS,4,STENDTC,Study End Date,2008-02-13
CDISCPILOT01,TS,2,TTYPE,Trial Type,EFFICACY
CDISCPILOT01,TS,1,DOSDUR,Dosing Duration,P28D
CDISCPILOT01,TS,1,EXPENDTC,Experimental End Date,2008
CDISCPILOT01,TS,1,EXPENDTC,Experimental End Date,2008-02
CDISCPILOT01,TS,1,EXPENDTC,Experimental End Date,2008-02-13T12:00:33-06:00
