STUDYID,DOMAIN,VISITNUM,VISIT,ARM,ARMCD,TVSTRL,TVENRL
CDISCPILOT01,TV,1,SCREENING 1,Placebo,,Informed Consent Obtained,Screening Assessments Completed
CDISCPILOT01,TV,2,SCREENING 2,Zanomaline Low Dose (54 mg),,Day Before Initial Study Treatment,
CDISCPILOT01,TV,3,BASELINE,Zanomaline Low Dose (54 mg),,Day of Initial Study Treatment,
CDISCPILOT01,TV,4,WEEK 2,Zanomaline High Dose (81 mg),,2 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,5,WEEK 4,Zanomaline High Dose (81 mg),,4 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,7,WEEK 6,Zanomaline High Dose (81 mg),,6 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,8,WEEK 8,Zanomaline High Dose (81 mg),,8 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,9,WEEK 12,Arm M,,12 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,10,WEEK 16,Arm E,,16 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,11,WEEK 20,,,20 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,12,WEEK 24,,,24 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,13,WEEK 26,,,26 Weeks After Start of Study Treatment,
CDISCPILOT01,TV,101,EARLY DISCONTINUATION,,,Discontinuation Date Prior to Week 24,
CDISCPILOT01,TV,201,EARLY DISCONTINUATION RETRIEVAL,,,Approximately 24 Weeks After Start of Study Treatment for Early Discontinuations,
