STUDYID,DOMAIN,SETCD,SET,TXSEQ,TXPARMCD,TXPARM,TXVAL
CDISCPILOT01,TX,SET1,"Control Group, Vehicle Control once daily ",1,ARMCD ,Arm Code,ARM1
CDISCPILOT01,TX,SET1,"Control Group, Vehicle Control once daily ",2,SPGRPCD ,Sponsor-defined Group Code,GRP1
CDISCPILOT01,TX,SET1,"Control Group, Vehicle Control once daily ",3,TCNTRL ,Control Type,Vehicle Control
CDISCPILOT01,TX,SET2,"Low-Dose Group, 100 mg/kg Drug a once daily ",4,ARMCD ,Arm Code,ARM2
CDISCPILOT01,TX,SET2,"Low-Dose Group, 100 mg/kg Drug a once daily ",5,SPGRPCD ,Sponsor-defined Group Code,GRP2
CDISCPILOT01,TX,SET2,"Low-Dose Group, 100 mg/kg Drug a once daily ",6,ENVTEMPU,Environmental Temperature Units ,C
CDISCPILOT01,TX,SET3,"High-Dose Group, 200 mg/kg Drug a once daily ",7,ARMCD ,Arm Code,ARM2
CDISCPILOT01,TX,SET3,"High-Dose Group, 200 mg/kg Drug a once daily ",8,SPGRPCD ,Sponsor-defined Group Code,GRP2
CDISCPILOT01,TX,SET3,"High-Dose Group, 200 mg/kg Drug a once daily ",9,ENVTEMPU,Environmental Temperature Units ,F
CDISCPILOT01,TX,SET3,"High-Dose Group, 200 mg/kg Drug a once daily ",10,DOSENDTC,End Date/Time of Dose Interval ,2022-03-02
