dataset,variable,label,type,length
dm,STUDYID,Study Identifier,Char,12
dm,DOMAIN,Domain Abbreviation,Char,2
dm,USUBJID,Unique Subject Identifier,Char,50
dm,SUBJID,Subject Identifier for the Study,Char,4
dm,RFSTDTC,Subject Reference Start Date/Time,Char,10
dm,RFENDTC,Subject Reference End Date/Time,Char,10
dm,RFXSTDTC,Date/Time of First Study Treatment,Char,10
dm,RFXENDTC,Date/Time of Last Study Treatment,Char,10
dm,RFICDTC,Date/Time of Informed Consent,Char,10
dm,RFPENDTC,Date/Time of End of Participation,Char,10
dm,DTHDTC,Date/Time of Death,Char,10
dm,DTHFL,Subject Death Flag,Char,1
dm,SITEID,Study Site Identifier,Char,3
dm,BRTHDTC,Date/Time of Birth,Char,10
dm,AGE,Age,Num,8
dm,AGEU,Age Units,Char,5
dm,SEX,Sex,Char,1
dm,RACE,Race,Char,41
dm,ETHNIC,Ethnicity,Char,22
dm,ARMCD,Planned Arm Code,Char,8
dm,ARM,Description of Planned Arm,Char,28
dm,ACTARMCD,Actual Arm Code,Char,8
dm,ACTARM,Description of Actual Arm,Char,28
dm,ARMNRS,Reason Arm and/or Actual Arm is Null,Char,14
dm,ACTARMUD,Description of Unplanned Actual Arm,Char,200
dm,COUNTRY,Country,Char,3
ce,STUDYID,Study Identifier,Char,12
ce,DOMAIN,Domain Abbreviation,Char,2
ce,USUBJID,Unique Subject Identifier,Char,8
ce,CETERM,Reported Term for the Clinical Event,Char,40
ce,CEDTC,Date/Time of Collection,Char,19
ce,CESTDTC,Start Date/Time of Clinical Event,Char,19
ce,CESTDY,Study Day of Start of Observation,Num,8
ce,CEENDTC,End Date/Time of Clinical Event,Char,19
ce,CEENDY,Study Day of End of Observation,Num,8
lb,STUDYID,Study Identifier,Char,12
lb,DOMAIN,Domain Abbreviation,Char,2
lb,USUBJID,Unique Subject Identifier,Char,8
lb,LBSEQ,Sequence Number,Num,8
lb,LBTESTCD,Lab Test or Examination Short Name,Char,8
lb,LBTEST,Lab Test or Examination Name,Char,50
lb,LBCAT,Category for Lab Test,Char,50
lb,LBORRES,Result or Finding in Original Units,Char,25
lb,LBORRESU,Original Units,Char,25
lb,LBSPEC,Specimen Type,Char,25
lb,LBDTC,Date/Time of Specimen Collection,Char,19
lb,LBENDTC,End Date/Time of Specimen Collection,Char,19
lb,LBDY,Study Day of Specimen Collection,Num,8
lb,LBENDY,Study Day of End of Observation,Num,8
