STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
ABC,TS,1,,ACTSUB,Actual Number of Subjects,341,,,,
ABC,TS,1,,ADAPT,Adaptive Design,N,,C49487,CDISC,2015-03-27
ABC,TS,1,,ADDON,Added on to Existing Treatments,Y,,C49488,CDISC,2015-03-27
ABC,TS,,,AGEMAX,Planned Maximum Age of Subjects,,PINF,ISO 21090,,
ABC,TS,,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,ISO 8601,,
ABC,TS,1,CARX,CURTRT,Current Therapy or Treatment,CARX,,72X6E3J5AR,UNII,2021-12-13
ABC,TS,2,DEX,CURTRT,Current Therapy or Treatment,DEX,,7S5I7G3JQL,UNII,2021-12-13
ABC,TS,1,CARX,DOSE,Dose per Administration,20,,,,
ABC,TS,2,CARX,DOSE,Dose per Administration,56,,,,
ABC,TS,1,,STYPE,Study Type,OBSERVATIONAL,,C98388,CDISC,2015-03-27
ABC,TS,1,,TBLIND,Trial Blinding Schema,OPEN LABEL,,C49659,CDISC,2015-03-27
ABC,TS,1,,TCNTRL,Control Type,ACTIVE,,C49649,CDISC,2015-03-27
ABC,TS,1,,TDIGRP,Diagnosis Group,Relapse multiple myeloma,,452291000124109,SNOMED,2020-03-01
