STUDYID,DOMAIN,SETCD,SET,TXSEQ,TXPARMCD,TXPARM,TXVAL
ABC123,TX,DRGA_NS,Drug A Non- Smokers,1,ARMCD,Arm Code,A
ABC123,TX,DRGA_NS,Drug A Non- Smokers,2,GRPLBL,Group Label,Drug A Non- Smokers
ABC123,TX,DRGA_NS,Drug A Non- Smokers,3,SPGRPCD,Sponsor- Defined Group Code,DRGA_NS
ABC123,TX,DRGA_NS,Drug A Non- Smokers,4,TRTDOS,Dose Level,50
ABC123,TX,DRGA_NS,Drug A Non- Smokers,5,TRTDOSU,Dose Units,mg
ABC123,TX,DRGA_NS,Drug A Non- Smokers,6,POPTYPE,Population Type,Non- Smokers
ABC123,TX,DRGA_S,Drug A Smokers,7,ARMCD,Arm Code,A
ABC123,TX,DRGA_S,Drug A Smokers,8,GRPLBL,Group Label,Drug A Smokers
ABC123,TX,DRGA_S,Drug A Smokers,9,SPGRPCD,Sponsor- Defined Group Code,DRGA_S
ABC123,TX,DRGA_S,Drug A Smokers,10,TRTDOS,Dose Level,50
ABC123,TX,DRGA_S,Drug A Smokers,11,TRTDOSU,Dose Units,mg
ABC123,TX,DRGA_S,Drug A Smokers,12,POPTYPE,Population Type,Smokers
ABC123,TX,DRGB_NS,Drug B Non- Smokers,13,ARMCD,Arm Code,B
ABC123,TX,DRGB_NS,Drug B Non- Smokers,14,GRPLBL,Group Label,Drug B Non- Smokers
ABC123,TX,DRGB_NS,Drug B Non- Smokers,15,SPGRPCD,Sponsor- Defined Group Code,DRGB_NS
ABC123,TX,DRGB_NS,Drug B Non- Smokers,16,TRTDOS,Dose Level,66
ABC123,TX,DRGB_NS,Drug B Non- Smokers,17,TRTDOSU,Dose Units,mg
ABC123,TX,DRGB_NS,Drug B Non- Smokers,18,POPTYPE,Population Type,Non- Smokers
ABC123,TX,DRGB_S,Drug B Smokers,19,ARMCD,Arm Code,B
ABC123,TX,DRGB_S,Drug B Smokers,20,GRPLBL,Group Label,Drug B Smokers
ABC123,TX,DRGB_S,Drug B Smokers,21,SPGRPCD,Sponsor- Defined Group Code,DRGB_S
ABC123,TX,DRGB_S,Drug B Smokers,22,TRTDOS,Dose Level,66
ABC123,TX,DRGB_S,Drug B Smokers,23,TRTDOSU,Dose Units,mg
ABC123,TX,DRGB_S,Drug B Smokers,24,POPTYPE,Population Type,Smokers
