dataset,variable,label,type,length
co.xpt,STUDYID,Study Identifier,Char,50
co.xpt,DOMAIN,Domain Abbreviation,Char,50
co.xpt,RDOMAIN,Related Domain Abbreviation,Char,50
co.xpt,USUBJID,Unique Subject Identifier,Char,50
co.xpt,COSEQ,Sequence Number,Num,8
co.xpt,IDVAR,Identifying Variable,Char,50
co.xpt,IDVARVAL,Identifying Variable Value,Char,50
co.xpt,COREF,Comment Reference,Char,50
co.xpt,COVAL,Comment,Char,50
co.xpt,COVAL1,Comment,Char,50
co.xpt,COVAL2,Comment,Char,50
co.xpt,COEVAL,Evaluator,Char,50
co.xpt,VISITNUM,Visitnumber,Num,8
co.xpt,CODTC,Date/Time of Comment,Char,50
co.xpt,CODY,Study Day of Comment,Num,8
ds.xpt,STUDYID,Study Identifier,Char,12
ds.xpt,DOMAIN,Domain Abbreviation,Char,2
ds.xpt,USUBJID,Unique Subject Identifier,Char,20
ds.xpt,DSSEQ,Sequence Number,Num,8
ds.xpt,DSTERM,Reported Term for the Disposition Event,Char,200
ds.xpt,DSDECOD,Standardized Disposition Term,Char,50
ds.xpt,DSCAT,Category for Disposition Event,Char,50
ds.xpt,DSSTDTC,Start Date/Time of Disposition Event,Char,50
ds.xpt,DSUSCHFL,Unscheduled Flag,Char,1
