parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,definedProcedures,biomedicalConceptIds,nextId,timelineId,previousId,bcSurrogateIds,bcCategoryIds
StudyDesign,StudyDesign_1,activities,definition,Activity_1,Informed consent,,Informed consent,Activity,False,False,Activity_2,,,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_2,Inclusion/exclusion criteria,,Inclusion and exclusion criteria,Activity,False,False,Activity_3,,Activity_1,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_3,Patient number assigned,,Patient number assigned,Activity,False,False,Activity_4,,Activity_2,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_4,Demographics,,Demographics,Activity,False,True,Activity_5,,Activity_3,True,False
StudyDesign,StudyDesign_1,activities,definition,Activity_5,Hachinski,,Hachinski Ischemic Scale,Activity,False,False,Activity_6,,Activity_4,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_6,MMSE,,MMSE,Activity,False,False,Activity_7,,Activity_5,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_7,Physical examination,,Physical examination,Activity,False,False,Activity_8,,Activity_6,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_8,Medical history,,Medical history,Activity,False,False,Activity_9,,Activity_7,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_9,Habits,,Habits,Activity,False,False,Activity_10,,Activity_8,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_10,Chest X-ray,,Chest X-ray,Activity,False,False,Activity_11,,Activity_9,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_11,Apo E genotyping,,Apo E genotyping,Activity,False,False,Activity_12,,Activity_10,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_12,Patient randomised,,Patient randomised,Activity,False,False,Activity_13,,Activity_11,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_13,Vital signs / Temperature,,Vital Signs and Temperature,Activity,False,True,Activity_14,ScheduleTimeline_3,Activity_12,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_14,Ambulatory ECG placed,,Ambulatory ECG placed,Activity,False,False,Activity_15,,Activity_13,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_15,Ambulatory ECG removed,,Ambulatory ECG removed,Activity,False,False,Activity_16,,Activity_14,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_16,ECG,,ECG,Activity,False,False,Activity_17,,Activity_15,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_17,Placebo TTS test,,Placebo TTS test,Activity,False,False,Activity_18,,Activity_16,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_18,CT scan,,CT scan,Activity,True,False,Activity_19,,Activity_17,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_19,Concomitant medications,,Concomitant medications,Activity,False,False,Activity_20,,Activity_18,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_20,Hematology,,Hematology,Activity,False,False,Activity_21,,Activity_19,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_21,Chemistry,,Chemistry,Activity,False,True,Activity_22,,Activity_20,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_22,Uninalysis,,Uninalysis,Activity,False,False,Activity_23,,Activity_21,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_23,Plasma Specimen (Xanomeline),,Plasma Specimen (Xanomeline),Activity,False,False,Activity_24,,Activity_22,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_24,Hemoglobin A1C,,Hemoglobin A1C,Activity,False,True,Activity_25,,Activity_23,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_25,Study drug,,"Study drug record , Medications dispensed, Medications returned",Activity,False,False,Activity_26,,Activity_24,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_26,TTS Acceptability Survey,,TTS Acceptability Survey,Activity,False,False,Activity_27,,Activity_25,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_27,ADAS-Cog,,ADAS-Cog,Activity,False,False,Activity_28,,Activity_26,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_28,CIBIC+,,CIBIC+,Activity,False,False,Activity_29,,Activity_27,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_29,DAD,,DAD,Activity,False,False,Activity_30,,Activity_28,False,False
StudyDesign,StudyDesign_1,activities,definition,Activity_30,NPI-X,,NPI-X,Activity,False,False,Activity_31,,Activity_29,False,False
