parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,environmentalSetting,contactModes,type,type.id,type.code,type.codeSystem,type.codeSystemVersion,type.decode,transitionEndRule,transitionEndRule.id,transitionEndRule.name,transitionEndRule.description,transitionEndRule.label,transitionEndRule.text,nextId,transitionStartRule,transitionStartRule.id,transitionStartRule.name,transitionStartRule.description,transitionStartRule.label,transitionStartRule.text,scheduledAtId,previousId
StudyDesign,StudyDesign_1,encounters,definition,Encounter_1,E1,Screening encounter,Screening 1,Encounter,True,True,True,Code_83,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_2,ENCOUNTER_START_RULE_1,,,completion of screening activities,Encounter_2,True,TransitionRule_1,ENCOUNTER_START_RULE_1,,,Subject identifier,,
StudyDesign,StudyDesign_1,encounters,definition,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_3,ENCOUNTER_START_RULE_2,,,subject leaves clinic after connection of ambulatory ECG machine,Encounter_3,,,,,,,Timing_2,Encounter_1
StudyDesign,StudyDesign_1,encounters,definition,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,Encounter_4,True,TransitionRule_4,ENCOUNTER_START_RULE_3,,,subject has connection of ambulatory ECG machine removed,,Encounter_2
StudyDesign,StudyDesign_1,encounters,definition,Encounter_4,E4,Day 14,Week 2,Encounter,True,True,True,Code_92,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_5,,,,,,,Timing_4,Encounter_3
StudyDesign,StudyDesign_1,encounters,definition,Encounter_5,E5,Day 28,Week 4,Encounter,True,True,True,Code_95,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_6,,,,,,,Timing_5,Encounter_4
StudyDesign,StudyDesign_1,encounters,definition,Encounter_6,E7,Day 42,Week 6,Encounter,True,True,True,Code_98,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_7,,,,,,,Timing_6,Encounter_5
StudyDesign,StudyDesign_1,encounters,definition,Encounter_7,E8,Day 56,Week 8,Encounter,True,True,True,Code_101,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_8,,,,,,,Timing_7,Encounter_6
StudyDesign,StudyDesign_1,encounters,definition,Encounter_8,E9,Day 84,Week 12,Encounter,True,True,True,Code_105,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_9,,,,,,,Timing_9,Encounter_7
StudyDesign,StudyDesign_1,encounters,definition,Encounter_9,E10,Day 112,Week 16,Encounter,True,True,True,Code_109,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_10,,,,,,,Timing_11,Encounter_8
StudyDesign,StudyDesign_1,encounters,definition,Encounter_10,E11,Day 140,Week 20,Encounter,True,True,True,Code_113,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_11,,,,,,,Timing_13,Encounter_9
StudyDesign,StudyDesign_1,encounters,definition,Encounter_11,E12,Day 168,Week 24,Encounter,True,True,True,Code_117,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_12,,,,,,,Timing_15,Encounter_10
StudyDesign,StudyDesign_1,encounters,definition,Encounter_12,E13,Day 182,Week 26,Encounter,True,True,True,Code_120,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_6,ENCOUNTER_START_RULE_12,,,End of treatment,,,,,,,,Timing_16,Encounter_11
Encounter,Encounter_1,nextId,reference,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_3,ENCOUNTER_START_RULE_2,,,subject leaves clinic after connection of ambulatory ECG machine,Encounter_3,,,,,,,Timing_2,Encounter_1
Encounter,Encounter_2,previousId,reference,Encounter_1,E1,Screening encounter,Screening 1,Encounter,True,True,True,Code_83,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_2,ENCOUNTER_START_RULE_1,,,completion of screening activities,Encounter_2,True,TransitionRule_1,ENCOUNTER_START_RULE_1,,,Subject identifier,,
Encounter,Encounter_2,nextId,reference,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,Encounter_4,True,TransitionRule_4,ENCOUNTER_START_RULE_3,,,subject has connection of ambulatory ECG machine removed,,Encounter_2
Encounter,Encounter_3,previousId,reference,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_3,ENCOUNTER_START_RULE_2,,,subject leaves clinic after connection of ambulatory ECG machine,Encounter_3,,,,,,,Timing_2,Encounter_1
Encounter,Encounter_3,nextId,reference,Encounter_4,E4,Day 14,Week 2,Encounter,True,True,True,Code_92,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_5,,,,,,,Timing_4,Encounter_3
Encounter,Encounter_4,previousId,reference,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,Encounter_4,True,TransitionRule_4,ENCOUNTER_START_RULE_3,,,subject has connection of ambulatory ECG machine removed,,Encounter_2
Encounter,Encounter_4,nextId,reference,Encounter_5,E5,Day 28,Week 4,Encounter,True,True,True,Code_95,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_6,,,,,,,Timing_5,Encounter_4
Encounter,Encounter_5,previousId,reference,Encounter_4,E4,Day 14,Week 2,Encounter,True,True,True,Code_92,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_5,,,,,,,Timing_4,Encounter_3
Encounter,Encounter_5,nextId,reference,Encounter_6,E7,Day 42,Week 6,Encounter,True,True,True,Code_98,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_7,,,,,,,Timing_6,Encounter_5
Encounter,Encounter_6,previousId,reference,Encounter_5,E5,Day 28,Week 4,Encounter,True,True,True,Code_95,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_6,,,,,,,Timing_5,Encounter_4
Encounter,Encounter_6,nextId,reference,Encounter_7,E8,Day 56,Week 8,Encounter,True,True,True,Code_101,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_8,,,,,,,Timing_7,Encounter_6
Encounter,Encounter_7,previousId,reference,Encounter_6,E7,Day 42,Week 6,Encounter,True,True,True,Code_98,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_7,,,,,,,Timing_6,Encounter_5
Encounter,Encounter_7,nextId,reference,Encounter_8,E9,Day 84,Week 12,Encounter,True,True,True,Code_105,C25716,http://www.cdisc.org,2023-12-15,Visit,,,,,,,Encounter_9,,,,,,,Timing_9,Encounter_7
