dataset,variable,label,type,length
pc.xpt,STUDYID,Study Identifier,Char,50
pc.xpt,DOMAIN,Domain Abbreviation,Char,50
pc.xpt,USUBJID,Unique Subject Identifier,Char,50
pc.xpt,PCSEQ,Sequence Number,Num,8
pc.xpt,PCTESTCD,Vital Signs Test Short Name,Char,50
pc.xpt,PCTEST,Vital Signs Test Name,Char,50
pc.xpt,PCORRES,Result or Finding in Original Units,Char,50
pc.xpt,PCORRESU,Original Units,Char,50
pc.xpt,PCSTRESC,Character Result/Finding in Std Format,Char,10
pc.xpt,PCSTRESN,Numeric Result/Finding in Std Format,Num,8
pc.xpt,PCSTRESU,Standard Units,Char,50
pc.xpt,PCSTAT,Completion Status,Char,50
pc.xpt,PCLLOQ,Lower Level of Quantification,Num,8
tf.xpt,STUDYID,Study Identifier,Char,50
tf.xpt,DOMAIN,Domain Abbreviation,Char,50
tf.xpt,USUBJID,Unique Subject Identifier,Char,50
tf.xpt,TFSEQ,Sequence Number,Num,8
tf.xpt,TFSPID ,Mass Identifier ,Char,8
tf.xpt,TFTESTCD,Tumor Examination Short Name ,Char,8
tf.xpt,TFTEST,Tumor Examination Name ,Char,40
tf.xpt,TFORRES,Result or Findings as Collected ,Char,20
tf.xpt,TFSTRESC ,Standardized Result in Character Format ,Char,20
tf.xpt,TFRESCAT ,Tumor Malignancy Status ,Char,10
tf.xpt,TFSPEC,Specimen Material Type ,Char,10
tf.xpt,TFDTHREL,Relationship to Death,Char,1
tf.xpt,TFTDC,Date/Time ,Char,20
tf.xpt,TFDY,Study Day ,Num,8
