parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,transitionEndRule,transitionEndRule.id,transitionEndRule.name,transitionEndRule.description,transitionEndRule.label,transitionEndRule.text,studyInterventionIds,transitionStartRule,transitionStartRule.id,transitionStartRule.name,transitionStartRule.description,transitionStartRule.label,transitionStartRule.text
StudyDesign,StudyDesign_1,elements,definition,StudyElement_1,EL1,Screening Element,Screening,StudyElement,False,,,,,,False,False,,,,,
StudyDesign,StudyDesign_1,elements,definition,StudyElement_2,EL2,Placebo TTS (adhesive patches),Placebo,StudyElement,False,,,,,,False,False,,,,,
StudyDesign,StudyDesign_1,elements,definition,StudyElement_3,EL3,"Xanomeline TTS (adhesive patches) 50 cm2, 54 mg",Low,StudyElement,False,,,,,,False,False,,,,,
StudyDesign,StudyDesign_1,elements,definition,StudyElement_4,EL4,"Xanomeline TTS (adhesive patches) 50 cm2, 54 mg",High - Start,StudyElement,False,,,,,,False,False,,,,,
StudyDesign,StudyDesign_1,elements,definition,StudyElement_7,EL7,Follow Up Element,Follow up,StudyElement,False,,,,,,False,False,,,,,
StudyDesign,StudyDesign_1,elements,definition,StudyElement_8,EL8,Wash-out Element,Wash-out,StudyElement,False,,,,,,False,False,,,,,
StudyCell,StudyCell_1,elementIds,reference,StudyElement_1,EL1,Screening Element,Screening,StudyElement,False,,,,,,False,False,,,,,
StudyCell,StudyCell_2,elementIds,reference,StudyElement_2,EL2,Placebo TTS (adhesive patches),Placebo,StudyElement,False,,,,,,False,False,,,,,
StudyCell,StudyCell_2,elementIds,reference,StudyElement_8,EL8,Wash-out Element,Wash-out,StudyElement,False,,,,,,False,False,,,,,
StudyCell,StudyCell_5,elementIds,reference,StudyElement_7,EL7,Follow Up Element,Follow up,StudyElement,False,,,,,,False,False,,,,,
StudyCell,StudyCell_6,elementIds,reference,StudyElement_1,EL1,Screening Element,Screening,StudyElement,False,,,,,,False,False,,,,,
StudyCell,StudyCell_7,elementIds,reference,StudyElement_3,EL3,"Xanomeline TTS (adhesive patches) 50 cm2, 54 mg",Low,StudyElement,False,,,,,,False,False,,,,,
StudyCell,StudyCell_7,elementIds,reference,StudyElement_8,EL8,Wash-out Element,Wash-out,StudyElement,False,,,,,,False,False,,,,,
StudyCell,StudyCell_10,elementIds,reference,StudyElement_7,EL7,Follow Up Element,Follow up,StudyElement,False,,,,,,False,False,,,,,
