STUDYID,DOMAIN,USUBJID,POOLID,FWSEQ,FWTESTCD,FWTEST,FWORRES,FWORRESU,FWSTRESC,FWSTRESN,FWSTRESU,FWDTC,FWENDTC
CDISC-TEST,FW,CDISC-TEST-001,,1,FC,Food Consumption,400,mg,400,400,mg/animal/day,2003-01-20 00:00:00,2003-01-27 00:00:00
CDISC-TEST,FW,CDISC-TEST-001,,2,FC,Food Consumption,300,mg,300,300,mg/animal/day,2003-01-27 00:00:00,2003-02-04 00:00:00
CDISC-TEST,FW,CDISC-TEST-001,,3,WC,Water Consumption,210,mL,210,210,mL/animal/day,2003-01-20 00:00:00,2003-01-27 00:00:00
CDISC-TEST,FW,CDISC-TEST-001,,4,WC,Water Consumption,276,mL,276,276,mL/animal/day,2003-01-27 00:00:00,2003-02-04 00:00:00
CDISC-TEST,FW,CDISC-TEST-002,,1,FC,Food Consumption,401,mg,401,401,mg/animal/day,2003-01-20 00:00:00,2003-01-27 00:00:00
CDISC-TEST,FW,CDISC-TEST-002,,2,FC,Food Consumption,301,mg,301,301,mg/animal/day,2003-01-27 00:00:00,2003-02-04 00:00:00
CDISC-TEST,FW,CDISC-TEST-002,,3,WC,Water Consumption,211,mL,211,211,mL/animal/day,2003-01-20 00:00:00,2003-01-27 00:00:00
CDISC-TEST,FW,CDISC-TEST-002,,4,WC,Water Consumption,277,mL,277,277,mL/animal/day,2003-01-27 00:00:00,2003-02-04 00:00:00
CDISC-TEST,FW,,POOL1,1,FC,Food Consumption,1400,mg,1400,1400,mg/cage/day,2003-01-20 00:00:00,2003-01-27 00:00:00
CDISC-TEST,FW,,POOL1,2,FC,Food Consumption,1300,mg,1300,1300,mg/cage/day,2003-01-27 00:00:00,2003-02-04 00:00:00
CDISC-TEST,FW,,POOL1,3,WC,Water Consumption,1210,mL,1210,1210,mL/cage/day,2003-01-20 00:00:00,2003-01-27 00:00:00
CDISC-TEST,FW,,POOL1,4,WC,Water Consumption,1276,mL,1276,1276,mL/cage/day,2003-01-27 00:00:00,2003-02-04 00:00:00
CDISC-TEST,FW,,POOL2,1,FC,Food Consumption,1401,mg,1401,1401,mg/cage/day,2003-01-20 00:00:00,2003-01-27 00:00:00
CDISC-TEST,FW,,POOL2,2,FC,Food Consumption,1301,mg,1301,1301,mg/cage/day,2003-01-27 00:00:00,2003-02-04 00:00:00
CDISC-TEST,FW,,POOL2,3,WC,Water Consumption,1211,mL,1211,1211,mL/cage/day,2003-01-20 00:00:00,2003-01-27 00:00:00
CDISC-TEST,FW,,POOL2,4,WC,Water Consumption,1277,mL,1277,1277,mL/cage/day,2003-01-27 00:00:00,2003-02-04 00:00:00
