STUDYID,DOMAIN,TSSEQ,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
Sample001,TS,1,ACTSUB,Actual Number of Subjects,redacted, , , , 
Sample001,TS,1,ADAPT,Adaptive Design,N, ,C49488,CDISC,2019-03-29
Sample001,TS,1,AGEMIN,"Planned Minimum Age of
Subjects",redacted, , ,ISO 8601, 
Sample001,TS,1,COMPTRT,Comparative Treatment Name,redacted, ,7GR28W0FJI,UNII,2020-08-18
Sample001,TS,2,COMPTRT,Comparative Treatment Name,redacted, ,6T8C155666,UNII,2020-08-18
Sample001,TS,3,COMPTRT,Comparative Treatment Name,redacted, ,DPT0O3T46P,UNII,2020-08-18
Sample001,TS,1,DCUTDESC,Data Cutoff Description,redacted, , , , 
Sample001,TS,1,DCUTDTC,Data Cutoff Date,redacted, , ,ISO 8601, 
Sample001,TS,1,EXTTIND,Extension Trial Indicator,redacted, ,C49487,CDISC,2019-03-29
Sample001,TS,1,HLTSUBJI,Healthy Subject Indicator,redacted, ,C49487,CDISC,2019-03-29
Sample001,TS,1,PCLAS,Pharmacologic Class,redacted, ,N0000182080,NDF-RT,2018-02-05
Sample001,TS,1,SDTIGVER,SDTM IG Version,redacted, ,C156604,CDISC,2019-03-29
Sample001,TS,1,SDTMVER,SDTM Version,redacted, ,C156605,CDISC,2019-03-29
Sample001,TS,1,SENDTC,Study End Date,redacted, , ,ISO 21090, 
Sample001,TS,1,SEXPOP,Sex of Participants,redacted, ,C49636,CDISC,2019-03-29
Sample001,TS,1,SPONSOR,Clinical Study Sponsor,redacted, ,211024107,DUNS, 
Sample001,TS,1,SSTDTC,Study Start Date,redacted, , ,ISO 8601, 
Sample001,TS,1,STOPRULE,Study Stop Rules,redacted,terminated early by the Sponsor., , , 
Sample001,TS,1,STRATFCT,Stratification Factor,redacted, , , , 
Sample001,TS,1,STYPE,Study Type,redacted, ,C98388,CDISC,2019-03-29
Sample001,TS,1,TBLIND,Trial Blinding Schema,redacted, ,C49659,CDISC,2019-03-29
Sample001,TS,1,TCNTRL,Control Type,redacted, ,C49649,CDISC,2019-03-29
Sample001,TS,1,TDIGRP,Diagnosis Group,redacted, , ,SNOMED,2020-03-01
Sample001,TS,1,THERAREA,Therapeutic Area,redacted, ,C101302,CDISC,2019-03-29
Sample001,TS,1,TINDTP,Trial Intent Type,redacted, ,C49656,CDISC,2019-03-29
Sample001,TS,1,TITLE,Trial Title,redacted,Uveal Melanoma, , , 
Sample001,TS,1,TPHASE,Trial Phase Classification,redacted, ,C15601,CDISC,2019-03-29
Sample001,TS,1,TRT,"Investigational Therapy or
Treatment",redacted, ,N658GY6L3E,UNII,2020-08-18
Sample001,TS,1,TTYPE,Trial Type,redacted, ,C49667,CDISC,2019-03-29
Sample001,TS,1,NARMS,Planned Number of Arms,3,,,,
