STUDYID,DOMAIN,SPTOBID,IGDCMPID,PDSEQ,PDPARMCD,PDPARM,PDVALTRG,PDVALMIN,PDVALMAX,PDVALU
TOB07,PD,CIG01a,,1,LENGTHS,Length,84,83.5,84.5,mm
TOB07,PD,CIG02a,,2,CIRCUM,Circumference,24.8,24.6,25,mm
TOB07,PD,CIG01a,,3,TBFLMASS,Tobacco Filler Mass,783,753,814,mg
TOB07,PD,CIG01a,,4,MOISTURE,Moisture,13,12,14,%
TOB07,PD,CIG01a,Burley tobacco,5,TOCUTSIZ,Tobacco Cut Size,22,20,24,cuts/in
TOB07,PD,CIG01a,Reconstituted tobacco,6,TOCUTSIZ,Tobacco Cut Size,27,25,29,mm
TOB07,PD,CIG01a,,7,VENTLTOT,Total Ventilation,30,23,37,%
TOB07,PD,CIG01a,,8,TPNPLGTH,Tipping Paper Length,31,30,32,mm
TOB07,PD,CIG01a,,11,CPBPOR,Cigarette Paper Band Porosity,10,0.2,13,Cu
TOB07,PD,CIG01a,,20,FLTRLGTH,Filter Length,25,24.5,25.5,mm
TOB07,PD,CIG01a,,21,FLTPRDRP,Filter Pressure Drop,60,51,69,mm H2O
TOB07,PD,CIG01a,,23,CIGPLGTH,Cigarette Paper Length,53,52,54,mm
