STUDYID,DOMAIN,SPTOBID,IGDCMPID,PDSEQ,PDPARMCD,PDPARM,PDVALTRG,PDVALMIN,PDVALMAX,PDVALU
TOB07,PD,CIG01a,,1,LENGTH,Length,84,83.5,84.5,mm
TOB07,PD,CIG02a,,2,CIRCUMF,Circumference,24.8,24.6,25,mm
TOB07,PD,CIG01a,,3,TBFLMASS,Tobacco Filler Mass,783,753,814,mg
TOB07,PD,CIG01a,,4,MOISTURE,Moisture,13,12,14,%
TOB07,PD,CIG01a,Burley tobacco,5,TOCUTSIZ,Tobacco Cut Size,22,20,24,cuts/in
TOB07,PD,CIG01a,Reconstituted tobacco,6,TOCUTSIZ,Tobacco Cut Size,27,25,29,mm
TOB07,PD,CIG02a,,7,VENTLTOT,Total Ventilation,30,23,37,%
TOB07,PD,CIG01a,,8,TPNPLGTH,Tipping Paper Length,31,30,32,mm
TOB07,PD,CIG01a,,9,PACKTYP,Package Type,50,45,55,Cu
TOB07,PD,CIG01a,,10,PRDQUAN,Product Quantity,50,45,55,Cu
TOB07,PD,CIG01a,,11,CPBPOR,Cigarette Paper Band Porosity,10,0.2,13,Cu
TOB07,PD,CIG01a,,12,CPBPERM,Cigarette Paper Band Permeability,10,0.2,13,Cu
TOB07,PD,CIG01a,,13,CPBDIFF,Cigarette Paper Band Diffusivity,0.05,0.001,0.1,cm2/s
TOB07,PD,CIG01a,,14,CPBWID,Cigarette Paper Band Width,7,6.7,7.3,mm
TOB07,PD,CIG01a,,15,CPBSPC,Cigarette Paper Band Space,20,19.8,20.2,mm
TOB07,PD,CIG01a,,16,FLTREFF,Filter Efficiency,30,25,35,%
TOB07,PD,CIG01a,,17,DPF,Denier Per Filament,4,3.6,4.4,
TOB07,PD,CIG01a,,18,TDENIER,Total Denier,30000,29100,30900,g/9000m
TOB07,PD,CIG01a,,19,FLTRDEN,Filter Density,0.1234,0.105,0.1419,g/cm3
TOB07,PD,CIG01a,,20,FLTRLGTH,Filter Length,25,24.5,25.5,mm
TOB07,PD,CIG01a,,21,FLTPRDRP,Filter Pressure Drop,60,51,69,mm H2O
TOB07,PD,CIG02a,,22,CHARFLAV,Characterizing Flavor,0.2678,0.2437,0.2919,g/cm3
TOB07,PD,CIG01a,,23,CIGPLGTH,Cigarette Paper Length,53,52,54,mm
