STUDYID,DOMAIN,SETCD,SET,TXSEQ,TXPARMCD,TXPARM,TXVAL
123,TX,A1,ST+S9_C0,1,MTACTIND,Metabolic Activating Agent Name,0
123,TX,A1,ST+S9_C0,2,METACTFL,Presence of Metabolic Activation Flag,Y
123,TX,A1,ST+S9_C0,3,IVTDMIN,In vitro Treatment Duration Minimum,3
123,TX,A1,ST+S9_C0,4,IVTDTRG,In vitro Treatment Duration Target,3.5
123,TX,A1,ST+S9_C0,5,IVTDMAX,In vitro Treatment Duration Maximum,4
123,TX,A1,ST+S9_C0,6,IVTDU,In vitro Treatment Duration Unit,HOURS
123,TX,A1,ST+S9_C0,7,RCVDMIN,Recovery Duration Minimum,23.5
123,TX,A1,ST+S9_C0,8,RCVDTRG,Recovery Duration Target,24
123,TX,A1,ST+S9_C0,9,RCVDMAX,Recovery Duration Maximum,24.5
123,TX,A1,ST+S9_C0,10,RCVDU,Recovery Duration Unit,HOURS
123,TX,A1,ST+S9_C0,11,INCBTMP,Incubation Temperature,37
123,TX,A1,ST+S9_C0,12,INCBTMPU,Incubation Temperature Unit,C
123,TX,A1,ST+S9_C0,13,ATMRHP,Atmospheric Relative Humidity Percent,50
123,TX,A1,ST+S9_C0,14,ATMCO2P,Atmospheric CO2 Percent,5
123,TX,A1,ST+S9_C0,15,SPTOBID,Applicant-defined tobacco identifier,CIG01a
123,TX,A1,ST+S9_C0,16,EXPTYP,Exposure Type,Submerged
123,TX,A1,ST+S9_C0,17,SAMTYP,Sample Type,Total Particulate Matter in DMSO
123,TX,A1,ST+S9_CO,18,ITVNAM,Intervention Article Name,Tobacco ProdA
123,TX,A1,ST+S9_C0,19,ITVTYPE,Intervention Article Type,Negative Control
123,TX,A1,ST+S9_C0,20,ITVCONC,Intervention Article Concentration,0
123,TX,A1,ST+S9_C0,21,ITVCONCU,Intervention Article Concentration Unit,ug/ml
123,TX,A1,ST+S9_C0,22,SPDEVID,Applicant-defined device identifier,PUFFMASTER3K
123,TX,A1,ST+S9_C0,23,SMKRGM,Smoking Regimen,MEDIUM INTENSITY REGIMEN
123,TX,A2,ST+S9_C1250,24,MTACTIND,Metabolic Activating Agent Name,0
123,TX,A2,ST+S9_C1250,25,METACTFL,Presence of Metabolic Activation Flag,Y
123,TX,A2,ST+S9_C1250,26,IVTDMIN,In vitro Treatment Duration Minimum,3
123,TX,A2,ST+S9_C1250,27,IVTDTRG,In vitro Treatment Duration Target,3.5
123,TX,A2,ST+S9_C1250,28,IVTDMAX,In vitro Treatment Duration Maximum,4
123,TX,A2,ST+S9_C1250,29,IVTDU,In vitro Treatment Duration Unit,HOURS
123,TX,A2,ST+S9_C1250,30,RCVDMIN,Recovery Duration Minimum,23.5
123,TX,A2,ST+S9_C1250,31,RCVDTRG,Recovery Duration Target,24
123,TX,A2,ST+S9_C1250,32,RCVDMAX,Recovery Duration Maximum,24.5
123,TX,A2,ST+S9_C1250,33,RCVDU,Recovery Duration Unit,HOURS
123,TX,A2,ST+S9_C1250,34,INCBTMP,Incubation Temperature,37
123,TX,A2,ST+S9_C1250,35,INCBTMPU,Incubation Temperature Unit,C
123,TX,A2,ST+S9_C1250,36,ATMRHP,Atmospheric Relative Humidity Percent,50
123,TX,A2,ST+S9_C1250,37,ATMCO2P,Atmospheric CO2 Percent,5
123,TX,A2,ST+S9_C1250,38,SPTOBID,Applicant-defined tobacco identifier,CIG01a
123,TX,A2,ST+S9_C1250,39,EXPTYP,Exposure Type,Submerged
123,TX,A2,ST+S9_C1250,40,SAMTYP,Sample Type,Total Particulate Matter in DMSO
123,TX,,ST+S9_C1250,41,ITVNAM,Intervention Article Name,Tobacco ProdA
123,TX,A2,ST+S9_C1250,42,ITVTYPE,Intervention Article Type,Product
123,TX,A2,ST+S9_C1250,43,ITVCONC,Intervention Article Concentration,1250
123,TX,A2,ST+S9_C1250,44,ITVCONCU,Intervention Article Concentration Unit,ug/ml
123,TX,A2,ST+S9_C1250,45,SPDEVID,Applicant-defined Device Identifier,PUFFMASTER2023
123,TX,A-1,ST+S9_C1250,46,SMKRGM,Smoking Regimen,HIGH INTENSITY REGIMEN
