STUDYID,SETCD,REFID,PARENT,LEVEL,LVLDESC
8325064,SetA,A,,1,EXPERIMENTAL UNIT/TRIAL SET
8325064,SetA,1_1,A,2,OBSERVATIONAL UNIT
8325064,SetA,1_2,A,2,OBSERVATIONAL UNIT
8325064,SetA,1_3,A,2,OBSERVATIONAL UNIT
8325064,SetA,1_4,A,2,OBSERVATIONAL UNIT
8325064,SetA,1_5,A,2,OBSERVATIONAL UNIT
8325064,SetF,F,,1,EXPERIMENTAL UNIT/TRIAL SET
8325064,SetF,6_1,F,2,OBSERVATIONAL UNIT
8325064,SetF,6_2,F,2,OBSERVATIONAL UNIT
8325064,SetF,6_3,F,2,OBSERVATIONAL UNIT
8325064,SetG,G,,1,EXPERIMENTAL UNIT/TRIAL SET
8325064,SetG,7_1,G,2,OBSERVATIONAL UNIT
8325064,SetG,7_2,G,2,OBSERVATIONAL UNIT
8325064,SetG,7_3,G,2,OBSERVATIONAL UNIT
8325064,SetR,R,,1,EXPERIMENTAL UNIT/TRIAL SET
8325064,SetR,18_1,R,2,OBSERVATIONAL UNIT
8325064,SetR,18_2,R,2,OBSERVATIONAL UNIT
8325064,SetR,18_3,R,2,OBSERVATIONAL UNIT
