STUDYID,DOMAIN,GTSEQ,GTREFID,GTTESTCD,GTTEST,GTORRES,GTORRESU,GTCOLSRT,GTSTRESC,GTSTRESN,GTSTRESU,GTSTAT,GTREASND,GTMETHOD,GTDTC
8325064,GT,1,1_1,RPP,Revertant Colony Numbers Per Plate,26,,,26,26,,,,INSTRUMENT COUNTED,2015-08-03 00:00:00
8325064,GT,2,1_2,RPP,Revertant Colony Numbers Per Plate,35,,,35,35,,,,INSTRUMENT COUNTED,2015-08-03 00:00:00
8325064,GT,3,1_3,RPP,Revertant Colony Numbers Per Plate,39,,,39,39,,,,INSTRUMENT COUNTED,2015-08-03 00:00:00
8325064,GT,4,1_4,RPP,Revertant Colony Numbers Per Plate,35,,,35,35,,,,INSTRUMENT COUNTED,2015-08-03 00:00:00
8325064,GT,5,1_5,RPP,Revertant Colony Numbers Per Plate,30,,,30,30,,,,INSTRUMENT COUNTED,2015-08-03 00:00:00
8325064,GT,6,A,RPP,Revertant Colony Numbers Per Plate,33,,MEAN,33,33,,,,,2015-08-03 00:00:00
8325064,GT,7,A,RPP,Revertant Colony Numbers Per Plate,5,,STANDARD DEVIATION,5,5,,,,,2015-08-03 00:00:00
8325064,GT,8,6_1,RPP,Revertant Colony Numbers Per Plate,8,,,8,8,,,,MANUALLY COUNTED,2015-08-03 00:00:00
8325064,GT,9,6_1,CYTOTOX,Cytotoxicity,Very thin background bacterial lawn,,,V,,,,,,2015-08-03 00:00:00
8325064,GT,10,6_2,RPP,Revertant Colony Numbers Per Plate,10,,,10,10,,,,MANUALLY COUNTED,2015-08-03 00:00:00
8325064,GT,11,6_2,CYTOTOX,Cytotoxicity,Very thin background bacterial lawn,,,V,,,,,,2015-08-03 00:00:00
8325064,GT,12,6_3,RPP,Revertant Colony Numbers Per Plate,12,,,12,12,,,,MANUALLY COUNTED,2015-08-03 00:00:00
8325064,GT,13,6_3,CYTOTOX,Cytotoxicity,Very thin background bacterial lawn,,,V,,,,,,2015-08-03 00:00:00
8325064,GT,14,F,RPPMEAN,Mean Rev Colony Num Per Plate,10,,MEAN,10,10,,,,,2015-08-03 00:00:00
8325064,GT,15,F,RPPSTDDV,Std Dev Rev Colony Num Per Plate,2,,STANDARD DEVIATION,2,2,,,,,2015-08-03 00:00:00
8325064,GT,16,F,RPPFLDIC,Fold Increase Rev Colony Num Per Plate,0.3,,FOLD INCREASE,0.3,0.3,,,,,2015-08-03 00:00:00
8325064,GT,17,7_1,CYTOTOX,Cytotoxicity,Toxic No Revertant Colonies,,,T,,,NOT DONE,TOO MUCH CYTOTOXICITY,,2015-08-03 00:00:00
8325064,GT,18,7_2,CYTOTOX,Cytotoxicity,Toxic No Revertant Colonies,,,T,,,NOT DONE,TOO MUCH CYTOTOXICITY,,2015-08-03 00:00:00
8325064,GT,19,7_3,CYTOTOX,Cytotoxicity,Toxic No Revertant Colonies,,,T,,,NOT DONE,TOO MUCH CYTOTOXICITY,,2015-08-03 00:00:00
8325064,GT,20,18_1,RPP,Revertant Colony Numbers Per Plate,812,,,812,812,,,,INSTRUMENT COUNTED,2015-08-03 00:00:00
8325064,GT,21,18_2,RPP,Revertant Colony Numbers Per Plate,912,,,912,912,,,,INSTRUMENT COUNTED,2015-08-03 00:00:00
8325064,GT,23,R,RPPMEAN,Mean Rev Colony Num Per Plate,854.3,,MEAN,854.3,854.3,,,,,2015-08-03 00:00:00
8325064,GT,24,R,RPPSTDDV,Std Dev Rev Colony Num Per Plate,51.7,,STANDARD DEVIATION,51.7,51.7,,,,,2015-08-03 00:00:00
8325064,GT,25,,RPPFLDIC,Fold Increase Rev Colony Num Per Plate,6.4,,FOLD INCREASE,6.4,6.4,,,,,2015-08-03 00:00:00
