STUDYID,DOMAIN,SPTOBID,PDSEQ,PDPARM,PDVALTRG,PDVALMAX,PDVALU
TOB09,PD,VAPE-Z27,2,Puff Count,300,310,
TOB09,PD,VAPE-Z27,3,Cartridge Volume,3,2.9,mL
TOB09,PD,VAPE-Z27,4,Number of Heating Elements,,,
TOB09,PD,VAPE-Z27,5,Heating Element Length,,3.3,mm
TOB09,PD,VAPE-Z27,9,Heating Element Configuration,SPIRAL,SPIRAL,
TOB09,PD,VAPE-Z27,10,Battery Voltage Operating Range,4.5,4,V
TOB09,PD,VAPE-Z27,11,Battery Current Operating Range,1601,,mAh
TOB09,PD,VAPE-Z27,21,PDU Voltage Operating Range,3,4.2,V
TOB09,PD,VAPE-Z27,22,PDU Current Operating Range,YES,NO,
TOB09,PD,VAPE-Z27,23,PDU Temperature Cut-off,70,69,C
TOB09,PD,VAPE-Z27,24,Airflow Rate,699,740,L/min
