STUDYID,DOMAIN,SPTOBID,PDSEQ,PDPARMCD,PDPARM,PDVALTRG,PDVALMIN,PDVALMAX,PDVALU
TOB09,PD,VAPE-Z27,2,PUFCNT,Puff Count,300,300,310,
TOB09,PD,VAPE-Z27,3,CRTVOL,Cartridge Volume,3,1,3,mL
TOB09,PD,VAPE-Z27,4,HTELNUM,Number of Heating Elements,,,5,
TOB09,PD,VAPE-Z27,5,HTELGTH,Heating Element Length,2.7,2.7,3.3,mm
TOB09,PD,VAPE-Z27,9,HTELCFG,Heating Element Configuration,-SPIRAL,SPIRAL,SPIRAL,
TOB09,PD,VAPE-Z27,10,BTVLTORG,Battery Voltage Operating Range,4.5,,6,V
TOB09,PD,VAPE-Z27,11,BTCRTORG,Battery Current Operating Range,1000,999,,mAh
TOB09,PD,VAPE-Z27,21,PDUVOR,PDU Voltage Operating Range,3.7,,,V
TOB09,PD,VAPE-Z27,22,PDUCOR,PDU Current Operating Range,YES,NO,NO,
TOB09,PD,VAPE-Z27,23,PDUTCTOF,PDU Temperature Cut-off,-69,-69,-50,C
TOB09,PD,VAPE-Z27,24,AIRFLRT,Airflow Rate,,700,740,L/min
