STUDYID,DOMAIN,SPTOBID,PDSEQ,PDPARMCD,PDPARM,PDVALTRG,PDVALU
TOB09,PD,VAPE-Z27,2,PUFCNT,Puff Count,300,
TOB09,PD,VAPE-Z27,3,CRTVOL,Cartridge Volume,3,mL
TOB09,PD,VAPE-Z27,4,HTELNUM,Number of Heating Elements,1,
TOB09,PD,VAPE-Z27,5,HTELGTH,Heating Element Length,2.7,mm
TOB09,PD,VAPE-Z27,9,HTELCFG,Heating Element Configuration,SPIRAL,
TOB09,PD,VAPE-Z27,10,BTVLTORG,Battery Voltage Operating Range,4.5,V
TOB09,PD,VAPE-Z27,11,BTCRTORG,Battery Current Operating Range,1000,mAh
TOB09,PD,VAPE-Z27,21,PDUVOR,PDU Voltage Operating Range,3.7,V
TOB09,PD,VAPE-Z27,22,PDUCOR,PDU Current Operating Range,YES,
TOB09,PD,VAPE-Z27,23,PDUTCTOF,PDU Temperature Cut-off,-69,C
