STUDYID,DOMAIN,SPTOBID,PDSEQ,PDPARMCD,PDPARM,PDVALMAX,PDVALU
TOB09,PD,VAPE-Z27,2,PUFCNT,Puff Count,300,
TOB09,PD,VAPE-Z27,3,CRTVOL,Cartridge Volume,1,mL
TOB09,PD,VAPE-Z27,4,HTELNUM,Number of Heating Elements,,
TOB09,PD,VAPE-Z27,5,HTELGTH,Heating Element Length,2.7,mm
TOB09,PD,VAPE-Z27,9,HTELCFG,Heating Element Configuration,SPIRAL,
TOB09,PD,VAPE-Z27,10,BTVLTORG,Battery Voltage Operating Range,,V
TOB09,PD,VAPE-Z27,11,BTCRTORG,Battery Current Operating Range,999,mAh
TOB09,PD,VAPE-Z27,21,PDUVOR,PDU Voltage Operating Range,,V
TOB09,PD,VAPE-Z27,22,PDUCOR,PDU Current Operating Range,NO,
TOB09,PD,VAPE-Z27,23,PDUTCTOF,PDU Temperature Cut-off,-69,C
TOB09,PD,VAPE-Z27,24,AIRFLRT,Airflow Rate,700,L/min
