STUDYID,DOMAIN,SPDEVID,DUSEQ,DUTESTCD,DUTEST,DUORRES,DUORRESU,DUSTRESC,DUSTRESN,DUSTRESU
TOB07,DU,PUFFMASTER2K,1,PUFFPROF,Puff Profile,SQUARE,,SQUARE,,
TOB07,DU,PUFFMASTER2K,2,PUFFDUR,Puff Duration,1.25,sec,1.25,1.25,sec
TOB07,DU,PUFFMASTER2K,3,PUFFINT,Puff Interval,3,PUFF/min,3,3,PUFF/min
TOB07,DU,PUFFMASTER2K,4,PUFFBLCK,Puff Block,25,%,25,25,%
TOB07,DU,PUFFMASTER2K,5,PUFFNUM,Number of Puffs,200,PUFF,200,200,PUFF
TOB07,DU,PUFFMASTER2K,6,PUFFVOL,Puff Volume,10,mL,10,10,mL
TOB07,DU,PUFFMASTER2K,7,PUFFRNG,Puff Range,100-200,,100-200,,
TOB07,DU,PUFFMASTER2K,8,PUFFPAUS,Puff Pause,60,s,60,60,s
TOB07,DU,PUFFMASTER2K,9,PUFFPINT,Puff Pause Interval,10,PUFF,10,10,PUFF
TOB07,DU,PUFFMASTER2K,1,PUFFPROF,Puff Profile,SQUARE,,SQUARE,,
TOB07,DU,PUFFMASTER2K,2,PUFFDUR,Puff Duration,2.25,sec,2.25,2.25,sec
TOB07,DU,PUFFMASTER2K,3,PUFFINT,Puff Interval,3,PUFF/min,3,3,PUFF/min
TOB07,DU,PUFFMASTER2K,4,PUFFBLCK,Puff Block,30,%,30,30,%
TOB07,DU,PUFFMASTER2K,5,PUFFNUM,Number of Puffs,100,PUFF,100,100,PUFF
TOB07,DU,PUFFMASTER2K,6,PUFFVOL,Puff Volume,20,mL,20,20,mL
TOB07,DU,PUFFMASTER2K,7,PUFFRNG,Puff Range,50-150,,50-150,,
TOB07,DU,PUFFMASTER2K,8,PUFFPAUS,Puff Pause,30,s,30,30,s
TOB07,DU,PUFFMASTER2K,9,PUFFPINT,Puff Pause Interval,10,PUFF,10,,
