STUDYID,DOMAIN,SPTOBID,TOPARMCD,TOPARM,TOCAT,TOSCAT,TOVAL,TOVALU
CDISCPILOT01,TO,CIG01a,TBPRDCAT,Tobacco Product Category,NEW PRODUCT,PRODUCT IDENTIFIER,Cigarettes,
CDISCPILOT01,TO,CIG01a,TBPRSCAT,Tobacco Product Subcategory,NEW PRODUCT,PRODUCT IDENTIFIER,Filtered,
CDISCPILOT01,TO,CIG01a,MANUF,Manufacturer,NEW PRODUCT,PRODUCT IDENTIFIER,Joes Cigs USA,
CDISCPILOT01,TO,CIG01a,TRADENAM,Trade Name,NEW PRODUCT,PRODUCT IDENTIFIER,Treetop Menthol King Size,
CDISCPILOT01,TO,CIG01a,PACKTYP,Package Type,NEW PRODUCT,PRODUCT DESCRIPTOR,HARD PACK,
CDISCPILOT01,TO,CIG02a,PRDQUAN,Product Quantity,NEW PRODUCT,PRODUCT DESCRIPTOR,20,CIGARETTE
CDISCPILOT01,TO,CIG02a,LENGTH,Length,NEW PRODUCT,PRODUCT DESCRIPTOR,86,mm
CDISCPILOT01,TO,CIG02a,CIRCUMF,Circumference,NEW PRODUCT,PRODUCT DESCRIPTOR,26,mm
CDISCPILOT01,TO,CIG02a,VENTLTOT,Total Ventilation,NEW PRODUCT,PRODUCT DESCRIPTOR,10,%
CDISCPILOT01,TO,CIG02a,CHARFLAV,Characterizing Flavor,NEW PRODUCT,PRODUCT DESCRIPTOR,MENTHOL,
