STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
CDISC-TEST,TS,1,,ACTSUB,Actual Number of Subjects,100,,,,
CDISC-TEST,TS,2,,ADAPT,Adaptive Design,N,,C49487,CDISC,2018-12-21
CDISC-TEST,TS,3,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC,2018-12-21
CDISC-TEST,TS,4,,AGEMAX,Planned Maximum Age of Subjects,P64Y,,,ISO 8601,
CDISC-TEST,TS,5,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,,ISO 8601,
CDISC-TEST,TS,6,,AGETXT,Age Range,10-12,,,,
CDISC-TEST,TS,7,,AGETXT,Age Range,5-11,,,,
CDISC-TEST,TS,8,,AGETXT,Age Range,3-7,,,,
CDISC-TEST,TS,9,,AGETXT,Age Range,88-99,,,,
CDISC-TEST,TS,10,,AGETXT,Age Range,1-15,,,,
