parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,dataOriginDescription,instanceType,dataOriginType,dataOriginType.id,dataOriginType.code,dataOriginType.codeSystem,dataOriginType.codeSystemVersion,dataOriginType.decode,type,type.id,type.code,type.codeSystem,type.codeSystemVersion,type.decode,populationIds
StudyDesign,StudyDesign_1,arms,definition,StudyArm_1,Placebo,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_123,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyDesign,StudyDesign_1,arms,definition,StudyArm_2,Xanomeline Low Dose,Active Substance,Xanomeline Low Dose,Data collected from subjects,StudyArm,True,Code_126,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_125,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
StudyDesign,StudyDesign_1,arms,definition,StudyArm_3,Xanomeline High Dose,Active Substance,Xanomeline High Dose,Data collected from subjects,StudyArm,True,Code_128,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_127,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
StudyCell,StudyCell_1,armId,reference,StudyArm_1,Placebo,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_123,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_2,armId,reference,StudyArm_1,Placebo,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_123,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_3,armId,reference,StudyArm_1,Placebo,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_123,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_4,armId,reference,StudyArm_1,Placebo,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_123,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_5,armId,reference,StudyArm_1,Placebo,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_123,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_6,armId,reference,StudyArm_2,Xanomeline Low Dose,Active Substance,Xanomeline Low Dose,Data collected from subjects,StudyArm,True,Code_126,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_125,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
StudyCell,StudyCell_7,armId,reference,StudyArm_2,Xanomeline Low Dose,Active Substance,Xanomeline Low Dose,Data collected from subjects,StudyArm,True,Code_126,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_125,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
StudyCell,StudyCell_8,armId,reference,StudyArm_2,Xanomeline Low Dose,Active Substance,Xanomeline Low Dose,Data collected from subjects,StudyArm,True,Code_126,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_125,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
StudyCell,StudyCell_9,armId,reference,StudyArm_2,Xanomeline Low Dose,Active Substance,Xanomeline Low Dose,Data collected from subjects,StudyArm,True,Code_126,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_125,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
StudyCell,StudyCell_10,armId,reference,StudyArm_2,Xanomeline Low Dose,Active Substance,Xanomeline Low Dose,Data collected from subjects,StudyArm,True,Code_126,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_125,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
StudyCell,StudyCell_11,armId,reference,StudyArm_3,Xanomeline High Dose,Active Substance,Xanomeline High Dose,Data collected from subjects,StudyArm,True,Code_128,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_127,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
StudyCell,StudyCell_12,armId,reference,StudyArm_3,Xanomeline High Dose,Active Substance,Xanomeline High Dose,Data collected from subjects,StudyArm,True,Code_128,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_127,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
StudyCell,StudyCell_13,armId,reference,StudyArm_3,Xanomeline High Dose,Active Substance,Xanomeline High Dose,Data collected from subjects,StudyArm,True,Code_128,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_127,C174267,http://www.cdisc.org,2023-12-15,Active Comparator Arm,False
