parent_entity,parent_id,parent_rel,rel_type,id,name,label,synonyms,reference,instanceType,code,code.id,code.standardCode,code.standardCode.id,code.standardCode.code,code.standardCode.codeSystem,code.standardCode.codeSystemVersion,code.standardCode.decode,code.standardCodeAliases,properties
StudyDesign,StudyDesign_1,biomedicalConcepts,definition,BiomedicalConcept_1,Adverse Event Prespecified,Adverse Event Prespecified,True,/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP,BiomedicalConcept,True,AliasCode_28,True,Code_190,C179175,http://www.cdisc.org,2023-12-15,Solicited Adverse Event,False,True
StudyDesign,StudyDesign_1,biomedicalConcepts,definition,BiomedicalConcept_14,Systolic Blood Pressure,Systolic Blood Pressure,True,/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP,BiomedicalConcept,True,AliasCode_103,True,Code_343,C25298,http://www.cdisc.org,2023-12-15,SYSBP,False,True
StudyDesign,StudyDesign_1,biomedicalConcepts,definition,BiomedicalConcept_15,Diastolic Blood Pressure,Diastolic Blood Pressure,True,/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP,BiomedicalConcept,True,AliasCode_110,True,Code_360,C25299,http://www.cdisc.org,2023-12-15,DIABP,False,True
StudyDesign,StudyDesign_1,biomedicalConcepts,definition,BiomedicalConcept_16,Heart Rate,Heart Rate,True,/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR,BiomedicalConcept,True,AliasCode_117,True,Code_377,C49677,http://www.cdisc.org,2023-12-15,HR,False,True
StudyDesign,StudyDesign_1,biomedicalConcepts,definition,BiomedicalConcept_20,Sex,Sex,False,/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421,BiomedicalConcept,True,AliasCode_140,True,Code_432,C28421,http://www.cdisc.org,2023-12-15,Sex,False,True
StudyDesign,StudyDesign_1,biomedicalConcepts,definition,BiomedicalConcept_21,Race,Race,True,/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049,BiomedicalConcept,True,AliasCode_142,True,Code_434,C17049,http://www.cdisc.org,2023-12-15,Race,False,True
StudyDesign,StudyDesign_1,biomedicalConcepts,definition,BiomedicalConcept_22,Temperature,Temperature,True,/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP,BiomedicalConcept,True,AliasCode_147,True,Code_447,C174446,http://www.cdisc.org,2023-12-15,TEMP,False,True
StudyDesign,StudyDesign_1,biomedicalConcepts,definition,BiomedicalConcept_23,Weight,Weight,True,/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT,BiomedicalConcept,True,AliasCode_151,True,Code_454,C25208,http://www.cdisc.org,2023-12-15,WEIGHT,False,True
StudyDesign,StudyDesign_1,biomedicalConcepts,definition,BiomedicalConcept_24,Height,Height,True,/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT,BiomedicalConcept,True,AliasCode_155,True,Code_461,C25347,http://www.cdisc.org,2023-12-15,HEIGHT,False,True
Activity,Activity_31,biomedicalConceptIds,reference,BiomedicalConcept_1,Adverse Event Prespecified,Adverse Event Prespecified,True,/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP,BiomedicalConcept,True,AliasCode_28,True,Code_190,C179175,http://www.cdisc.org,2023-12-15,Solicited Adverse Event,False,True
