parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,value,valueLabel,windowLabel,windowLower,windowUpper,instanceType,relativeToFrom,relativeToFrom.id,relativeToFrom.code,relativeToFrom.codeSystem,relativeToFrom.codeSystemVersion,relativeToFrom.decode,type,type.id,type.code,type.codeSystem,type.codeSystemVersion,type.decode,relativeToScheduledInstanceId,relativeFromScheduledInstanceId
ScheduleTimeline,ScheduleTimeline_1,timings,definition,Timing_1,TIM1,Screening timing,Screening,P2W,2 weeks,,,,Timing,True,Code_15,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_14,C201357,http://www.cdisc.org,2023-12-15,Before,ScheduledActivityInstance_9,ScheduledActivityInstance_11
ScheduleTimeline,ScheduleTimeline_1,timings,definition,Timing_2,TIM2,Pre dose timing,Pre dose,P2D,2 days,-4..0 hours,PT4H,PT0H,Timing,True,Code_17,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_16,C201357,http://www.cdisc.org,2023-12-15,Before,ScheduledActivityInstance_10,ScheduledActivityInstance_11
ScheduleTimeline,ScheduleTimeline_1,timings,definition,Timing_3,TIM3,Dosing anchor,Dosing,P1D,1 Day,,,,Timing,True,Code_20,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_19,C201358,http://www.cdisc.org,2023-12-15,Fixed Reference,ScheduledActivityInstance_11,ScheduledActivityInstance_11
ScheduleTimeline,ScheduleTimeline_1,timings,definition,Timing_4,TIM4,Week 2 timing,Week 2,P2W,2 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_22,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_21,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_12,ScheduledActivityInstance_11
ScheduleTimeline,ScheduleTimeline_1,timings,definition,Timing_5,TIM5,Week 4 timing,Week 4,P4W,4 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_25,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_24,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_13,ScheduledActivityInstance_11
ScheduleTimeline,ScheduleTimeline_1,timings,definition,Timing_6,TIM6,Week 6 required timing,Week 6 required,P1D,1 Day,,,,Timing,True,Code_29,C201353,http://www.cdisc.org,2023-12-15,End to Start,True,Code_27,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledDecisionInstance_1,ScheduledActivityInstance_13
ScheduleTimeline,ScheduleTimeline_1,timings,definition,Timing_7,TIM7,Week 6 timing,Week 6,P6W,6 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_28,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_27,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_14,ScheduledActivityInstance_11
ScheduleTimeline,ScheduleTimeline_1,timings,definition,Timing_8,TIM8,Dosing anchor,Dosing,P1D,1 Day,,,,Timing,True,Code_20,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_19,C201358,http://www.cdisc.org,2023-12-15,Fixed Reference,ScheduledActivityInstance_11,
Encounter,Encounter_2,scheduledAtId,reference,Timing_2,TIM2,Pre dose timing,Pre dose,P2D,2 days,-4..0 hours,PT4H,PT0H,Timing,True,Code_17,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_16,C201357,http://www.cdisc.org,2023-12-15,Before,ScheduledActivityInstance_10,ScheduledActivityInstance_11
Encounter,Encounter_4,scheduledAtId,reference,Timing_4,TIM4,Week 2 timing,Week 2,P2W,2 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_22,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_21,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_12,ScheduledActivityInstance_11
Encounter,Encounter_5,scheduledAtId,reference,Timing_5,TIM5,Week 4 timing,Week 4,P4W,4 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_25,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_24,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_13,ScheduledActivityInstance_11
Encounter,Encounter_6,scheduledAtId,reference,Timing_7,TIM7,Week 6 timing,Week 6,P6W,6 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_28,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_27,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_14,ScheduledActivityInstance_11
