parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,defaultConditionId,epochId,timelineId,timelineExitId,activityIds,encounterId
ScheduleTimeline,ScheduleTimeline_1,instances,definition,ScheduledActivityInstance_18,WK12N,,Week 12 NPI,ScheduledActivityInstance,ScheduledActivityInstance_19,StudyEpoch_1,,,True,Encounter_1
ScheduleTimeline,ScheduleTimeline_1,instances,definition,ScheduledActivityInstance_19,WK16,,Week 16,ScheduledActivityInstance,ScheduledActivityInstance_20,StudyEpoch_2,,,True,Encounter_2
ScheduleTimeline,ScheduleTimeline_1,instances,definition,ScheduledActivityInstance_20,WK16N,,Week 16 NPI,ScheduledActivityInstance,ScheduledDecisionInstance_21,StudyEpoch_2,,,True,Encounter_3
ScheduleTimeline,ScheduleTimeline_1,instances,definition,ScheduledActivityInstance_22,WK20N,,Week 20 NPI,ScheduledActivityInstance,ScheduledActivityInstance_23,StudyEpoch_4,ScheduleTimeline_2,,True,Encounter_5
ScheduleTimeline,ScheduleTimeline_1,instances,definition,ScheduledActivityInstance_23,WK24,,Week 24,ScheduledActivityInstance,ScheduledActivityInstance_24,StudyEpoch_4,,,True,Encounter_6
ScheduleTimeline,ScheduleTimeline_1,instances,definition,ScheduledActivityInstance_24,WK26,,Week 26,ScheduledActivityInstance,,StudyEpoch_5,,,True,Encounter_7
ScheduleTimeline,ScheduleTimeline_2,instances,definition,ScheduledActivityInstance_26,WK28,,Week 28,ScheduledActivityInstance,,StudyEpoch_6,,,True,Encounter_8
ScheduledActivityInstance,ScheduledActivityInstance_18,defaultConditionId,reference,ScheduledActivityInstance_19,WK16,,Week 16,ScheduledActivityInstance,ScheduledActivityInstance_20,StudyEpoch_2,,,True,Encounter_2
ScheduledActivityInstance,ScheduledActivityInstance_19,defaultConditionId,reference,ScheduledActivityInstance_20,WK16N,,Week 16 NPI,ScheduledActivityInstance,ScheduledDecisionInstance_21,StudyEpoch_2,,,True,Encounter_3
ScheduledActivityInstance,ScheduledActivityInstance_22,defaultConditionId,reference,ScheduledActivityInstance_23,WK24,,Week 24,ScheduledActivityInstance,ScheduledActivityInstance_24,StudyEpoch_4,,,True,Encounter_6
ScheduledActivityInstance,ScheduledActivityInstance_23,defaultConditionId,reference,ScheduledActivityInstance_24,WK26,,Week 26,ScheduledActivityInstance,,StudyEpoch_5,,,True,Encounter_7
ScheduleTimeline,ScheduleTimeline_1,entryId,reference,ScheduledActivityInstance_18,WK12N,,Week 12 NPI,ScheduledActivityInstance,ScheduledActivityInstance_19,StudyEpoch_1,,,True,Encounter_1
ConditionAssignment,ConditionAssignment_1,conditionTarget,reference,ScheduledActivityInstance_26,WK28,,Week 28,ScheduledActivityInstance,,StudyEpoch_6,,,True,Encounter_8
