parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,definedProcedures,biomedicalConceptIds,bcSurrogateIds,bcCategoryIds,previousId,nextId,timelineId
StudyDesign,StudyDesign_1,activities,definition,Activity_1,Activity 1,,,Activity,True,True,True,True,,Activity_2,
StudyDesign,StudyDesign_1,activities,definition,Activity_2,Activity 2,,,Activity,True,True,True,False,Activity_1,Activity_3,
StudyDesign,StudyDesign_1,activities,definition,Activity_3,Activity 3,,,Activity,True,True,True,,Activity_2,Activity_4,
StudyDesign,StudyDesign_1,activities,definition,Activity_4,Activity 4,,,Activity,True,True,False,True,Activity_3,Activity_5,
StudyDesign,StudyDesign_1,activities,definition,Activity_5,Activity 5,,,Activity,True,True,False,False,Activity_4,Activity_6,
StudyDesign,StudyDesign_1,activities,definition,Activity_6,Activity 6,,,Activity,True,True,False,,Activity_5,Activity_7,
StudyDesign,StudyDesign_1,activities,definition,Activity_7,Activity 7,,,Activity,True,True,,True,Activity_6,Activity_8,
StudyDesign,StudyDesign_1,activities,definition,Activity_8,Activity 8,,,Activity,True,True,,False,Activity_7,Activity_9,
StudyDesign,StudyDesign_1,activities,definition,Activity_9,Activity 9,,,Activity,True,True,,,Activity_8,Activity_10,
StudyDesign,StudyDesign_1,activities,definition,Activity_10,Activity 10,,,Activity,True,False,True,True,Activity_9,Activity_11,
StudyDesign,StudyDesign_1,activities,definition,Activity_11,Activity 11,,,Activity,True,False,True,False,Activity_10,Activity_12,
StudyDesign,StudyDesign_1,activities,definition,Activity_12,Activity 12,,,Activity,True,False,True,,Activity_11,Activity_13,
StudyDesign,StudyDesign_1,activities,definition,Activity_13,Activity 13,,,Activity,True,False,False,True,Activity_12,Activity_14,
StudyDesign,StudyDesign_1,activities,definition,Activity_14,Activity 14,,,Activity,True,False,False,False,Activity_13,Activity_15,
StudyDesign,StudyDesign_1,activities,definition,Activity_15,Activity 15,,,Activity,True,False,False,,Activity_14,Activity_16,
StudyDesign,StudyDesign_1,activities,definition,Activity_16,Activity 16,,,Activity,True,False,,True,Activity_15,Activity_17,
StudyDesign,StudyDesign_1,activities,definition,Activity_17,Activity 17,,,Activity,True,False,,False,Activity_16,Activity_18,
StudyDesign,StudyDesign_1,activities,definition,Activity_18,Activity 18,,,Activity,True,False,,,Activity_17,Activity_19,
StudyDesign,StudyDesign_1,activities,definition,Activity_19,Activity 19,,,Activity,True,,True,True,Activity_18,Activity_20,
StudyDesign,StudyDesign_1,activities,definition,Activity_20,Activity 20,,,Activity,True,,True,False,Activity_19,Activity_21,
StudyDesign,StudyDesign_1,activities,definition,Activity_21,Activity 21,,,Activity,True,,True,,Activity_20,Activity_22,
StudyDesign,StudyDesign_1,activities,definition,Activity_22,Activity 22,,,Activity,True,,False,True,Activity_21,Activity_23,
StudyDesign,StudyDesign_1,activities,definition,Activity_23,Activity 23,,,Activity,True,,False,False,Activity_22,Activity_24,
StudyDesign,StudyDesign_1,activities,definition,Activity_24,Activity 24,,,Activity,True,,False,,Activity_23,Activity_25,
StudyDesign,StudyDesign_1,activities,definition,Activity_25,Activity 25,,,Activity,True,,,True,Activity_24,Activity_26,
StudyDesign,StudyDesign_1,activities,definition,Activity_26,Activity 26,,,Activity,False,True,True,True,Activity_25,Activity_27,
StudyDesign,StudyDesign_1,activities,definition,Activity_27,Activity 27,,,Activity,False,True,True,False,Activity_26,Activity_28,
StudyDesign,StudyDesign_1,activities,definition,Activity_28,Activity 28,,,Activity,False,True,True,,Activity_27,Activity_29,
StudyDesign,StudyDesign_1,activities,definition,Activity_29,Activity 29,,,Activity,False,True,False,,Activity_28,Activity_30,
StudyDesign,StudyDesign_1,activities,definition,Activity_30,Activity 30,,,Activity,False,True,,False,Activity_29,Activity_31,
StudyDesign,StudyDesign_1,activities,definition,Activity_31,Activity 31,,,Activity,False,True,,,Activity_30,Activity_32,
StudyDesign,StudyDesign_1,activities,definition,Activity_32,Activity 32,,,Activity,False,False,True,,Activity_31,Activity_33,
StudyDesign,StudyDesign_1,activities,definition,Activity_33,Activity 33,,,Activity,False,False,False,True,Activity_32,Activity_34,
StudyDesign,StudyDesign_1,activities,definition,Activity_34,Activity 34,,,Activity,False,False,,True,Activity_33,Activity_35,
StudyDesign,StudyDesign_1,activities,definition,Activity_35,Activity 35,,,Activity,False,,True,True,Activity_34,Activity_36,
StudyDesign,StudyDesign_1,activities,definition,Activity_36,Activity 36,,,Activity,False,,True,False,Activity_35,Activity_37,
StudyDesign,StudyDesign_1,activities,definition,Activity_37,Activity 37,,,Activity,False,,True,,Activity_36,Activity_38,
StudyDesign,StudyDesign_1,activities,definition,Activity_38,Activity 38,,,Activity,False,,False,True,Activity_37,Activity_39,
StudyDesign,StudyDesign_1,activities,definition,Activity_39,Activity 39,,,Activity,False,,,True,Activity_38,Activity_40,
StudyDesign,StudyDesign_1,activities,definition,Activity_40,Activity 40,,,Activity,,True,True,True,Activity_39,Activity_41,
StudyDesign,StudyDesign_1,activities,definition,Activity_41,Activity 41,,,Activity,,True,True,False,Activity_40,Activity_42,
StudyDesign,StudyDesign_1,activities,definition,Activity_42,Activity 42,,,Activity,,True,True,,Activity_41,Activity_43,
StudyDesign,StudyDesign_1,activities,definition,Activity_43,Activity 43,,,Activity,,True,False,True,Activity_42,Activity_44,
StudyDesign,StudyDesign_1,activities,definition,Activity_44,Activity 44,,,Activity,,True,False,False,Activity_43,Activity_45,
StudyDesign,StudyDesign_1,activities,definition,Activity_45,Activity 45,,,Activity,,True,False,,Activity_44,Activity_46,
