parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,defaultConditionId,epochId,timelineId,timelineExitId,instanceType,activityIds,encounterId
ScheduleTimeline,ScheduleTimeline_4,entryId,reference,ScheduledActivityInstance_9,SCREEN1,-,Screen One,ScheduledActivityInstance_10,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_9,SCREEN1,-,Screen One,ScheduledActivityInstance_10,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_10,SCREEN2,-,Screen Two,ScheduledActivityInstance_11,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_2
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_12,WK2,-,Week 2,ScheduledActivityInstance_13,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_4
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_24,WK26,-,Week 26,,StudyEpoch_5,,ScheduleTimelineExit_4,ScheduledActivityInstance,True,Encounter_12
Timing,Timing_1,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_9,SCREEN1,-,Screen One,ScheduledActivityInstance_10,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
Timing,Timing_1,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_2,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_10,SCREEN2,-,Screen Two,ScheduledActivityInstance_11,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_2
Timing,Timing_2,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_3,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_3,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_4,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_12,WK2,-,Week 2,ScheduledActivityInstance_13,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_4
Timing,Timing_4,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_5,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_6,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_7,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_9,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_11,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_13,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_15,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
Timing,Timing_16,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_24,WK26,-,Week 26,,StudyEpoch_5,,ScheduleTimelineExit_4,ScheduledActivityInstance,True,Encounter_12
Timing,Timing_16,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
ScheduledActivityInstance,ScheduledActivityInstance_9,defaultConditionId,reference,ScheduledActivityInstance_10,SCREEN2,-,Screen Two,ScheduledActivityInstance_11,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_2
ScheduledActivityInstance,ScheduledActivityInstance_10,defaultConditionId,reference,ScheduledActivityInstance_11,DOSE,-,Dose,ScheduledActivityInstance_12,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_3
ScheduledActivityInstance,ScheduledActivityInstance_11,defaultConditionId,reference,ScheduledActivityInstance_12,WK2,-,Week 2,ScheduledActivityInstance_13,StudyEpoch_2,,,ScheduledActivityInstance,True,Encounter_4
ScheduledActivityInstance,ScheduledActivityInstance_23,defaultConditionId,reference,ScheduledActivityInstance_24,WK26,-,Week 26,,StudyEpoch_5,,ScheduleTimelineExit_4,ScheduledActivityInstance,True,Encounter_12
ScheduleTimeline,ScheduleTimeline_1,entryId,reference,ScheduledActivityInstance_1,AE,-,Adevers Event,,,,ScheduleTimelineExit_1,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_1,instances,definition,ScheduledActivityInstance_1,AE,-,Adevers Event,,,,ScheduleTimelineExit_1,ScheduledActivityInstance,True,
Timing,Timing_17,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_1,AE,-,Adevers Event,,,,ScheduleTimelineExit_1,ScheduledActivityInstance,True,
Timing,Timing_17,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_1,AE,-,Adevers Event,,,,ScheduleTimelineExit_1,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_2,entryId,reference,ScheduledActivityInstance_2,ET,-,Early Termination,,,,ScheduleTimelineExit_2,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_2,instances,definition,ScheduledActivityInstance_2,ET,-,Early Termination,,,,ScheduleTimelineExit_2,ScheduledActivityInstance,True,
Timing,Timing_18,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_2,ET,-,Early Termination,,,,ScheduleTimelineExit_2,ScheduledActivityInstance,True,
Timing,Timing_18,relativeToScheduledInstanceId,reference,ScheduledActivityInstance_2,ET,-,Early Termination,,,,ScheduleTimelineExit_2,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_3,entryId,reference,ScheduledActivityInstance_3,VS_5MIN,,5 minute supine,ScheduledActivityInstance_4,,,,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_3,instances,definition,ScheduledActivityInstance_3,VS_5MIN,,5 minute supine,ScheduledActivityInstance_4,,,,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_3,instances,definition,ScheduledActivityInstance_4,VS_SUPINE,,Vital signs supine,ScheduledActivityInstance_5,,,,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_3,instances,definition,ScheduledActivityInstance_5,VS_1MIN,,1 minute standing,ScheduledActivityInstance_6,,,,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_3,instances,definition,ScheduledActivityInstance_6,VS_STAND1,,Vital signs after 1 min standing,ScheduledActivityInstance_7,,,,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_3,instances,definition,ScheduledActivityInstance_7,VS_2MIN,,2 minute standing,ScheduledActivityInstance_8,,,,ScheduledActivityInstance,True,
ScheduleTimeline,ScheduleTimeline_3,instances,definition,ScheduledActivityInstance_8,VS_STAND3,,Vital signs after 3 min standing,,,,ScheduleTimelineExit_3,ScheduledActivityInstance,True,
Timing,Timing_19,relativeFromScheduledInstanceId,reference,ScheduledActivityInstance_3,VS_5MIN,,5 minute supine,ScheduledActivityInstance_4,,,,ScheduledActivityInstance,True,
