dataset,variable,label,type,length
Encounter,parent_entity,Parent Entity Name,String,[1]
Encounter,parent_id,Parent Entity Id,String,[1]
Encounter,parent_rel,Name of Relationship from Parent Entity,String,[1]
Encounter,rel_type,Type of Relationship,String,[1]
Encounter,id,(Encounter Id),String,[1]
Encounter,name,Clinical Encounter Name,String,[1]
Encounter,description,Clinical Encounter Description,String,[0..1]
Encounter,label,Encounter Label,String,[0..1]
Encounter,instanceType,Instance Type,String,[1]
Encounter,environmentalSetting,Environmental Setting [Any Exists],Boolean,Code[0..*]
Encounter,contactModes,Contact Mode [Any Exists],Boolean,Code[0..*]
Encounter,type,Clinical Encounter Type [Exists],Boolean,Code[1]
Encounter,type.id,Clinical Encounter Type / (Code Id),String,Code[1].id[1]
Encounter,type.code,Clinical Encounter Type / Code Value,String,Code[1].code[1]
Encounter,type.codeSystem,Clinical Encounter Type / Code System Name,String,Code[1].codeSystem[1]
Encounter,type.codeSystemVersion,Clinical Encounter Type / Code System Version,String,Code[1].codeSystemVersion[1]
Encounter,type.decode,Clinical Encounter Type / Decode,String,Code[1].decode[1]
Encounter,transitionEndRule,(Encounter Transition End Rule) [Exists],Boolean,TransitionRule[0..1]
Encounter,transitionEndRule.id,(Encounter Transition End Rule) / (Transition Rule Id),String,TransitionRule[0..1].id[1]
Encounter,transitionEndRule.name,(Encounter Transition End Rule) / Transition Rule Name,String,TransitionRule[0..1].name[1]
Encounter,transitionEndRule.description,(Encounter Transition End Rule) / Transition Rule Description,String,TransitionRule[0..1].description[0..1]
Encounter,transitionEndRule.label,(Encounter Transition End Rule) / Transition Rule Label,String,TransitionRule[0..1].label[0..1]
Encounter,transitionEndRule.text,(Encounter Transition End Rule) / Transition Rule Text,String,TransitionRule[0..1].text[1]
Encounter,nextId,(Encounter Next) [Identifier],String,Encounter[0..1].id[1]
Encounter,transitionStartRule,(Encounter Transition Start Rule) [Exists],Boolean,TransitionRule[0..1]
Encounter,transitionStartRule.id,(Encounter Transition Start Rule) / (Transition Rule Id),String,TransitionRule[0..1].id[1]
Encounter,transitionStartRule.name,(Encounter Transition Start Rule) / Transition Rule Name,String,TransitionRule[0..1].name[1]
Encounter,transitionStartRule.description,(Encounter Transition Start Rule) / Transition Rule Description,String,TransitionRule[0..1].description[0..1]
Encounter,transitionStartRule.label,(Encounter Transition Start Rule) / Transition Rule Label,String,TransitionRule[0..1].label[0..1]
Encounter,transitionStartRule.text,(Encounter Transition Start Rule) / Transition Rule Text,String,TransitionRule[0..1].text[1]
Encounter,scheduledAtId,(Encounter Scheduled At) [Identifier],String,Timing[0..1].id[1]
Encounter,previousId,(Encounter Previous) [Identifier],String,Encounter[0..1].id[1]
Timing,parent_entity,Parent Entity Name,String,[1]
Timing,parent_id,Parent Entity Id,String,[1]
Timing,parent_rel,Name of Relationship from Parent Entity,String,[1]
Timing,rel_type,Type of Relationship,String,[1]
Timing,id,(Timing Id),String,[1]
Timing,name,Timing Name,String,[1]
Timing,description,Timing Description,String,[0..1]
Timing,label,Timing Label,String,[0..1]
Timing,value,Timing Value,String,[1]
Timing,valueLabel,Timing Value Label,String,[1]
Timing,windowLabel,Timing Window Label,String,[0..1]
Timing,windowLower,"Timing Window, Lower",String,[0..1]
Timing,windowUpper,"Timing Window, Upper",String,[0..1]
Timing,instanceType,Instance Type,String,[1]
Timing,relativeToFrom,Timing Relative To From [Exists],Boolean,Code[1]
Timing,relativeToFrom.id,Timing Relative To From / (Code Id),String,Code[1].id[1]
Timing,relativeToFrom.code,Timing Relative To From / Code Value,String,Code[1].code[1]
