parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,value,valueLabel,windowLabel,windowLower,windowUpper,instanceType,relativeToFrom,relativeToFrom.id,relativeToFrom.code,relativeToFrom.codeSystem,relativeToFrom.codeSystemVersion,relativeToFrom.decode,type,type.id,type.code,type.codeSystem,type.codeSystemVersion,type.decode,relativeToScheduledInstanceId,relativeFromScheduledInstanceId
Encounter,Encounter_2,scheduledAtId,reference,Timing_2,TIM2,Pre dose timing,Pre dose,P2D,2 days,-4..0 hours,PT4H,,Timing,True,Code_17,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_16,C201357,http://www.cdisc.org,2023-12-15,Before,ScheduledActivityInstance_11,ScheduledActivityInstance_10
Encounter,Encounter_4,scheduledAtId,reference,Timing_4,TIM4,Week 2 timing,Week 2,P2W,2 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_22,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_21,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_12
Encounter,Encounter_5,scheduledAtId,reference,Timing_5,TIM5,Week 4 timing,Week 4,P4W,4 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_25,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_24,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_13
Encounter,Encounter_6,scheduledAtId,reference,Timing_6,TIM6,Week 6 timing,Week 6,P6W,6 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_28,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_27,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_14
Encounter,Encounter_7,scheduledAtId,reference,Timing_7,TIM7,Week 8 timing,Week 8,P8W,8 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_31,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_30,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_15
Encounter,Encounter_8,scheduledAtId,reference,Timing_9,TIM9,Week 12 timing,Week 12,P12W,12 Weeks,-4..4 days,P4D,P4D,Timing,True,Code_36,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_35,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_17
Encounter,Encounter_9,scheduledAtId,reference,Timing_11,TIM11,Week 16 timing,Week 16,P16W,16 Weeks,-4..4 days,P4D,P4D,Timing,True,Code_41,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_40,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_19
Encounter,Encounter_10,scheduledAtId,reference,Timing_13,TIM13,Week 20 timing,Week 20,P20W,20 Weeks,-4..4 days,P4D,P4D,Timing,True,Code_46,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_45,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_21
Encounter,Encounter_11,scheduledAtId,reference,Timing_15,TIM15,Week 24 timing,Week 24,P24W,24 Weeks,-4..4 days,P4D,P4D,Timing,True,Code_51,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_50,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_23
Encounter,Encounter_12,scheduledAtId,reference,Timing_16,TIM16,Week 26 timing,Week 26,P26W,26 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_54,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_53,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_24
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_1,TIM1,Screening timing,Screening,P2W,2 weeks,None,,,Timing,True,Code_15,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_14,C201357,http://www.cdisc.org,2023-12-15,Before,ScheduledActivityInstance_11,ScheduledActivityInstance_9
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_2,TIM2,Pre dose timing,Pre dose,P2D,2 days,-4..0 hours,PT4H,,Timing,True,Code_17,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_16,C201357,http://www.cdisc.org,2023-12-15,Before,ScheduledActivityInstance_11,ScheduledActivityInstance_10
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_3,TIM3,Dosing anchor,Dosing,P1D,1 Day,No upper/lower,,,Timing,True,Code_20,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_19,C201358,http://www.cdisc.org,2023-12-15,Fixed Reference,ScheduledActivityInstance_11,ScheduledActivityInstance_11
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_4,TIM4,Week 2 timing,Week 2,P2W,2 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_22,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_21,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_12
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_5,TIM5,Week 4 timing,Week 4,P4W,4 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_25,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_24,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_13
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_6,TIM6,Week 6 timing,Week 6,P6W,6 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_28,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_27,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_14
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_7,TIM7,Week 8 timing,Week 8,P8W,8 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_31,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_30,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_15
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_8,TIM8,Week 8 at home timing,Week 8 Home,P2W,2 Weeks,,,,Timing,True,Code_34,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_33,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_15,ScheduledActivityInstance_16
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_9,TIM9,Week 12 timing,Week 12,P12W,12 Weeks,-4..4 days,P4D,P4D,Timing,True,Code_36,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_35,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_17
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_10,TIM10,Week 12 at home timing,Week 12 Home,P2W,2 Weeks,,,,Timing,True,Code_39,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_38,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_17,ScheduledActivityInstance_18
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_11,TIM11,Week 16 timing,Week 16,P16W,16 Weeks,-4..4 days,P4D,P4D,Timing,True,Code_41,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_40,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_19
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_12,TIM12,Week 16 at home timing,Week 16 Home,P2W,2 Weeks,,,,Timing,True,Code_44,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_43,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_19,ScheduledActivityInstance_20
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_13,TIM13,Week 20 timing,Week 20,P20W,20 Weeks,-4..4 days,P4D,P4D,Timing,True,Code_46,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_45,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_21
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_14,TIM14,Week 20 at home timing,Week 20 Home,P2W,2 Weeks,,,,Timing,True,Code_49,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_48,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_21,ScheduledActivityInstance_22
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_15,TIM15,Week 24 timing,Week 24,P24W,24 Weeks,-4..4 days,P4D,P4D,Timing,True,Code_51,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_50,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_23
ScheduleTimeline,ScheduleTimeline_4,timings,definition,Timing_16,TIM16,Week 26 timing,Week 26,P26W,26 Weeks,-3..3 days,P3D,P3D,Timing,True,Code_54,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_53,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_11,ScheduledActivityInstance_24
ScheduleTimeline,ScheduleTimeline_1,timings,definition,Timing_17,TIM17,Adverse Event,Adverse Event,P1D,1 Day,,,,Timing,True,Code_57,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_56,C201357,http://www.cdisc.org,2023-12-15,Before,ScheduledActivityInstance_1,ScheduledActivityInstance_1
ScheduleTimeline,ScheduleTimeline_2,timings,definition,Timing_18,TIM18,Early Termination,Early Termination,P1D,1 Day,,,,Timing,True,Code_59,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_58,C201358,http://www.cdisc.org,2023-12-15,Fixed Reference,ScheduledActivityInstance_2,ScheduledActivityInstance_2
ScheduleTimeline,ScheduleTimeline_3,timings,definition,Timing_19,TIM19,Supine,Supine,PT0M,0 mins,,,,Timing,True,Code_61,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_60,C201358,http://www.cdisc.org,2023-12-15,Fixed Reference,ScheduledActivityInstance_3,ScheduledActivityInstance_3
ScheduleTimeline,ScheduleTimeline_3,timings,definition,Timing_20,TIM20,VS while supine,VS while supine,PT5M,5 mins,,,,Timing,True,Code_63,C201355,http://www.cdisc.org,2023-12-15,Start to Start,True,Code_62,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_3,ScheduledActivityInstance_4
ScheduleTimeline,ScheduleTimeline_3,timings,definition,Timing_21,TIM21,Standing,Standing,PT0M,0 min,,,,Timing,True,Code_65,C201353,http://www.cdisc.org,2023-12-15,End to Start,True,Code_64,C201356,http://www.cdisc.org,2023-12-15,After,ScheduledActivityInstance_4,ScheduledActivityInstance_5
