parent_entity,parent_id,parent_rel,rel_type,value
Condition,Condition_1,id,definition,Condition_1
Condition,Condition_1,name,definition,COND1
Condition,Condition_1,description,definition,Hemoglobin A<sup>1C</sup> and insulin-dependent subjects
Condition,Condition_1,label,definition,HA1C
Condition,Condition_1,text,definition,Performed if patient is an insulin-dependent diabetic
Condition,Condition_1,instanceType,definition,Condition
Condition,Condition_1,contextIds,definition,Activity_xx
Condition,Condition_2,id,definition,Condition_2
Condition,Condition_2,name,definition,COND2
Condition,Condition_2,description,definition,Questionnaire practice condition
Condition,Condition_2,label,definition,Practice
Condition,Condition_2,text,definition,"Practice only - It is recommended that a sampling of the CIBIC+, ADAS-Cog, DAD, and NPI-X be administered at Visit 1. Data from this sampling would not be considered as study data and would not be collected."
Condition,Condition_2,instanceType,definition,Condition
Condition,Condition_2,contextIds,definition,ScheduledActivityInstance_yy
