parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,rationale,biomedicalConcepts,bcCategories,bcSurrogates,dictionaries,conditions,instanceType,activities,trialIntentTypes,blindingSchema,blindingSchema.id,blindingSchema.code,blindingSchema.codeSystem,blindingSchema.codeSystemVersion,blindingSchema.decode,therapeuticAreas,characteristics,trialTypes,interventionModel,interventionModel.id,interventionModel.code,interventionModel.codeSystem,interventionModel.codeSystemVersion,interventionModel.decode,encounters,estimands,indications,maskingRoles,objectives,organizations,scheduleTimelines,arms,studyCells,elements,documentVersionId,studyInterventions,epochs,population,population.id,population.name,population.description,population.label,population.includesHealthySubjects,population.plannedSex,population.plannedSex.id,population.plannedSex.code,population.plannedSex.codeSystem,population.plannedSex.codeSystemVersion,population.plannedSex.decode,population.criteria,population.plannedAge,population.plannedAge.id,population.plannedAge.minValue,population.plannedAge.maxValue,population.plannedAge.isApproximate,population.plannedAge.unit,population.plannedAge.unit.id,population.plannedAge.unit.code,population.plannedAge.unit.codeSystem,population.plannedAge.unit.codeSystemVersion,population.plannedAge.unit.decode,population.plannedEnrollmentNumber,population.plannedEnrollmentNumber.id,population.plannedEnrollmentNumber.minValue,population.plannedEnrollmentNumber.maxValue,population.plannedEnrollmentNumber.isApproximate,population.plannedEnrollmentNumber.unit,population.plannedCompletionNumber,population.plannedCompletionNumber.id,population.plannedCompletionNumber.minValue,population.plannedCompletionNumber.maxValue,population.plannedCompletionNumber.isApproximate,population.plannedCompletionNumber.unit,population.cohorts
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_1,Study Design 1,The main design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_13,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_141,C82637,http://www.cdisc.org,2023-12-15,CROSS-OVER,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_1,POP1,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_549,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_3,50,100,False,True,Code_55,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_80,300,300,False,,True,Range_130,300,300,False,,False
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_2,Study Design 2,The second design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_14,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_142,C82637,http://www.cdisc.org,2023-12-15,Crossover Study,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_2,POP2,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_550,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_4,50,100,False,True,Code_56,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_81,300,300,False,,True,Range_131,300,300,False,,False
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_3,Study Design 3,The third design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_15,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_143,C82638,http://www.cdisc.org,2023-12-15,FACTORIAL,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_3,POP3,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_551,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_5,50,100,False,True,Code_57,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_82,300,300,False,,True,Range_132,300,300,False,,False
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_4,Study Design 4,The fourth design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_16,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_144,C82638,http://www.cdisc.org,2023-12-15,Factorial Study,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_4,POP4,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_552,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_6,50,100,False,True,Code_58,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_83,300,300,False,,True,Range_133,300,300,False,,False
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_5,Study Design 5,The fifth design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_17,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_145,C82639,http://www.cdisc.org,2023-12-15,PARALLEL,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_5,POP5,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_553,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_7,50,100,False,True,Code_59,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_84,300,300,False,,True,Range_134,300,300,False,,False
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_6,Study Design 6,The sixth design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_18,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_146,C82639,http://www.cdisc.org,2023-12-15,Parallel Study,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_6,POP6,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_554,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_8,50,100,False,True,Code_60,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_85,300,300,False,,True,Range_135,300,300,False,,False
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_7,Study Design 7,The seventh design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_19,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_147,C142568,http://www.cdisc.org,2023-12-15,SEQUENTIAL,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_7,POP7,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_555,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_9,50,100,False,True,Code_61,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_86,300,300,False,,True,Range_136,300,300,False,,False
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_8,Study Design 8,The eighth design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_20,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_148,C142568,http://www.cdisc.org,2023-12-15,Group Sequential Design,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_8,POP8,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_556,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_10,50,100,False,True,Code_62,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_87,300,300,False,,True,Range_137,300,300,False,,False
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_9,Study Design 9,The ninth design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_21,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_149,C82640,http://www.cdisc.org,2024-09-27,SINGLE GROUP,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_9,POP9,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_557,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_11,50,100,False,True,Code_63,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_88,300,300,False,,True,Range_138,300,300,False,,False
StudyVersion,StudyVersion_1,studyDesigns,definition,StudyDesign_10,Study Design 10,The tenth design for the study,,"The discontinuation rate associated with this oral dosing regimen was 58.6% in previous studies, and alternative clinical strategies have been sought to improve tolerance for the compound. To that end, development of a Transdermal Therapeutic System (TTS) has been initiated.",True,False,True,True,True,StudyDesign,True,True,True,Code_22,C15228,http://www.cdisc.org,2023-12-15,Double Blind Study,True,True,True,True,Code_150,C82640,http://www.cdisc.org,2024-09-27,Single Group Study,True,False,True,True,True,True,True,True,True,True,,False,True,True,StudyDesignPopulation_10,POP10,Patients with Probable Mild to Moderate Alzheimer's Disease,,False,True,Code_558,C49636,http://www.cdisc.org,2023-12-15,Both,True,True,Range_12,50,100,False,True,Code_64,C29848,http://www.cdisc.org,2023-12-15,Year,True,Range_89,300,300,False,,True,Range_139,300,300,False,,False
