parent_entity,parent_id,parent_rel,rel_type,id,name,label,identifier,identifierScheme,instanceType,legalAddress,legalAddress.id,legalAddress.text,legalAddress.line,legalAddress.district,legalAddress.city,legalAddress.postalCode,legalAddress.state,legalAddress.country,legalAddress.country.id,legalAddress.country.code,legalAddress.country.codeSystem,legalAddress.country.codeSystemVersion,legalAddress.country.decode,organizationType,organizationType.id,organizationType.code,organizationType.codeSystem,organizationType.codeSystemVersion,organizationType.decode
StudyIdentifier,StudyIdentifier_1,studyIdentifierScope,definition,Organization_1,Eli Lilly,,00-642-1325,DUNS,Organization,True,Address_1,"Lilly Corporate Ctr, Indianapolis, IN, 4628, United States of America",Lilly Corporate Ctr,,Indianapolis,4628,IN,True,Code_77,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_76,C18240,http://www.cdisc.org,2025-09-26,Academic Institution
StudyIdentifier,StudyIdentifier_2,studyIdentifierScope,definition,Organization_2,ClinicalTrials.gov,,CT-GOV,USGOV,Organization,True,Address_2,"National Library of Medicine, Bethesda, 8600 Rockville Pike, MD, 20894, United States of America",National Library of Medicine,8600 Rockville Pike,Bethesda,20894,MD,True,Code_79,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_78,C93453,http://www.cdisc.org,2025-09-26,Clinical Study Registry
StudyIdentifier,StudyIdentifier_3,studyIdentifierScope,definition,Organization_3,3rd Org,,O3,CUSTOM,Organization,True,Address_3,"3 The Boulevard, District 3, Threepolis, 34567, CC, USA",3 The Boulevard,District 3,Threepolis,34567,CC,True,Code_81,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_80,C54148,http://www.cdisc.org,2025-09-26,Contract Research Organization
StudyIdentifier,StudyIdentifier_4,studyIdentifierScope,definition,Organization_4,4th Org,,O4,CUSTOM,Organization,True,Address_4,"Lilly Corporate Ctr, Indianapolis, IN, 4628, United States of America",Lilly Corporate Ctr,,Indianapolis,4628,IN,True,Code_83,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_82,C199144,http://www.cdisc.org,2025-09-26,Government Institute
StudyIdentifier,StudyIdentifier_5,studyIdentifierScope,definition,Organization_5,5th Org,,O5,CUSTOM,Organization,True,Address_5,"National Library of Medicine, Bethesda, 8600 Rockville Pike, MD, 20894, United States of America",National Library of Medicine,8600 Rockville Pike,Bethesda,20894,MD,True,Code_85,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_84,C21541,http://www.cdisc.org,2025-09-26,Healthcare Facility
StudyIdentifier,StudyIdentifier_6,studyIdentifierScope,definition,Organization_6,6th Org,,O6,CUSTOM,Organization,True,Address_6,"3 The Boulevard, District 3, Threepolis, 34567, CC, USA",3 The Boulevard,District 3,Threepolis,34567,CC,True,Code_87,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_86,C37984,http://www.cdisc.org,2025-09-26,Laboratory
StudyIdentifier,StudyIdentifier_7,studyIdentifierScope,definition,Organization_7,7th Org,,O7,CUSTOM,Organization,True,Address_7,"Lilly Corporate Ctr, Indianapolis, IN, 4628, United States of America",Lilly Corporate Ctr,,Indianapolis,4628,IN,True,Code_89,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_88,C215661,http://www.cdisc.org,2025-09-26,Medical Device Company
StudyIdentifier,StudyIdentifier_8,studyIdentifierScope,definition,Organization_8,8th Org,,O8,CUSTOM,Organization,True,Address_8,"National Library of Medicine, Bethesda, 8600 Rockville Pike, MD, 20894, United States of America",National Library of Medicine,8600 Rockville Pike,Bethesda,20894,MD,True,Code_91,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_90,C54149,http://www.cdisc.org,2025-09-26,Pharmaceutical Company
StudyIdentifier,StudyIdentifier_9,studyIdentifierScope,definition,Organization_9,9th Org,,O9,CUSTOM,Organization,True,Address_9,"3 The Boulevard, District 3, Threepolis, 34567, CC, USA",3 The Boulevard,District 3,Threepolis,34567,CC,True,Code_93,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_92,C18240,http://www.cdisc.org,2025-09-26,Academia
StudyIdentifier,StudyIdentifier_10,studyIdentifierScope,definition,Organization_10,10th Org,,O10,CUSTOM,Organization,True,Address_10,"Lilly Corporate Ctr, Indianapolis, IN, 4628, United States of America",Lilly Corporate Ctr,,Indianapolis,4628,IN,True,Code_95,USA,ISO 3166 1 alpha3,2020-08,United States of America,True,Code_94,C93453,http://www.cdisc.org,2025-09-26,Study Registry
