parent_entity,parent_id,parent_rel,rel_type,id,code,codeSystem,codeSystemVersion,decode,instanceType
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_109,C215657,http://www.cdisc.org,2025-09-26,Clinical Education,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_110,C215654,http://www.cdisc.org,2025-09-26,Disease Determinants,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_111,C215658,http://www.cdisc.org,2025-09-26,Disease Etiology,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_112,C215653,http://www.cdisc.org,2025-09-26,Disease Incidence,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_113,C215675,http://www.cdisc.org,2025-09-26,Disease Prevalence,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_114,C215655,http://www.cdisc.org,2025-09-26,Disease Prognosis,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_115,C215656,http://www.cdisc.org,2025-09-26,Drug Utilization,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_116,C49667,http://www.cdisc.org,2025-09-26,Safety,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_117,C215657,http://www.cdisc.org,2025-09-26,Clinical Education Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_118,C215654,http://www.cdisc.org,2025-09-26,Disease Determinants Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_119,C215658,http://www.cdisc.org,2025-09-26,Disease Etiology Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_120,C215653,http://www.cdisc.org,2025-09-26,Disease Incidence Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_121,C215675,http://www.cdisc.org,2025-09-26,Disease Prevalence Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_122,C215655,http://www.cdisc.org,2025-09-26,Disease Prognosis Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_123,C215656,http://www.cdisc.org,2025-09-26,Drug Utilization Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_124,C49667,http://www.cdisc.org,2025-09-26,Safety Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,subTypes,definition,Code_125,C0104X,http://www.cdisc.org,2025-09-26,Extension,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,therapeuticAreas,definition,Code_126,T2_DIABETES,SPONSOR,12,Type 2 diabetes,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,therapeuticAreas,definition,Code_127,73211009,SNOMED,"January 31, 2018",Diabetes mellitus (disorder),Code
ObservationalStudyDesign,ObservationalStudyDesign_1,characteristics,definition,Code_128,C99907x1,http://www.cdisc.org,2024-09-27,EXTENSION,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,characteristics,definition,Code_129,C98704,http://www.cdisc.org,2024-09-27,ADAPTIVE,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,studyType,definition,Code_130,C49666,http://www.cdisc.org,2024-09-27,Efficacy Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,model,definition,Code_131,C82639,http://www.cdisc.org,2024-09-27,Parallel Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,timePerspective,definition,Code_132,C53310,http://www.cdisc.org,2024-09-27,Cross-Sectional Study,Code
ObservationalStudyDesign,ObservationalStudyDesign_1,samplingMethod,definition,Code_133,C71517,http://www.cdisc.org,2024-09-27,Equal Probability Sampling Method,Code
