path,attribute,value
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,StudyVersion.id,StudyVersion_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,StudyVersion.versionIdentifier,2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,abbreviatedText,LBC
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,expandedText,Copper
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,StudyVersion.id,StudyVersion_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,StudyVersion.versionIdentifier,2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,abbreviatedText,Cu
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,expandedText,copper
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,StudyVersion.id,StudyVersion_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,StudyVersion.versionIdentifier,2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,abbreviatedText,PK
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,expandedText,PHARMACODYNAMIC
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,StudyVersion.id,StudyVersion_1
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,StudyVersion.versionIdentifier,2
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,abbreviatedText,PD
C:\Users\SamJohnson\Documents\data_csv\Published\CORE-001067\negative\01\results\unit-test-coreid-DDF00171-negative-1.json,expandedText,pharmacodynamic
