Entity,Instance_ID,Path,Attribute,Value
Activity.xpt,Activity_352,,bcCategoryIds,Not in dataset
Activity.xpt,Activity_352,,bcSurrogateIds,False
Activity.xpt,Activity_352,,biomedicalConceptIds,False
Activity.xpt,Activity_352,,childIds,Not in dataset
Activity.xpt,Activity_352,,definedProcedures,False
Activity.xpt,Activity_352,,id,Activity_352
Activity.xpt,Activity_352,,name,A352
Activity.xpt,Activity_352,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_352,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_352,,parent_rel,activities
Activity.xpt,Activity_352,,timelineId,null
Activity.xpt,Activity_368,,bcCategoryIds,Not in dataset
Activity.xpt,Activity_368,,bcSurrogateIds,null
Activity.xpt,Activity_368,,biomedicalConceptIds,False
Activity.xpt,Activity_368,,childIds,Not in dataset
Activity.xpt,Activity_368,,definedProcedures,False
Activity.xpt,Activity_368,,id,Activity_368
Activity.xpt,Activity_368,,name,A368
Activity.xpt,Activity_368,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_368,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_368,,parent_rel,activities
Activity.xpt,Activity_368,,timelineId,null
Activity.xpt,Activity_416,,bcCategoryIds,Not in dataset
Activity.xpt,Activity_416,,bcSurrogateIds,False
Activity.xpt,Activity_416,,biomedicalConceptIds,null
Activity.xpt,Activity_416,,childIds,Not in dataset
Activity.xpt,Activity_416,,definedProcedures,False
Activity.xpt,Activity_416,,id,Activity_416
Activity.xpt,Activity_416,,name,A416
Activity.xpt,Activity_416,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_416,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_416,,parent_rel,activities
Activity.xpt,Activity_416,,timelineId,null
Activity.xpt,Activity_432,,bcCategoryIds,Not in dataset
Activity.xpt,Activity_432,,bcSurrogateIds,null
Activity.xpt,Activity_432,,biomedicalConceptIds,null
Activity.xpt,Activity_432,,childIds,Not in dataset
Activity.xpt,Activity_432,,definedProcedures,False
Activity.xpt,Activity_432,,id,Activity_432
Activity.xpt,Activity_432,,name,A432
Activity.xpt,Activity_432,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_432,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_432,,parent_rel,activities
Activity.xpt,Activity_432,,timelineId,null
Activity.xpt,Activity_608,,bcCategoryIds,Not in dataset
Activity.xpt,Activity_608,,bcSurrogateIds,False
Activity.xpt,Activity_608,,biomedicalConceptIds,False
Activity.xpt,Activity_608,,childIds,Not in dataset
Activity.xpt,Activity_608,,definedProcedures,null
Activity.xpt,Activity_608,,id,Activity_608
Activity.xpt,Activity_608,,name,A608
Activity.xpt,Activity_608,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_608,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_608,,parent_rel,activities
Activity.xpt,Activity_608,,timelineId,null
Activity.xpt,Activity_624,,bcCategoryIds,Not in dataset
Activity.xpt,Activity_624,,bcSurrogateIds,null
Activity.xpt,Activity_624,,biomedicalConceptIds,False
Activity.xpt,Activity_624,,childIds,Not in dataset
Activity.xpt,Activity_624,,definedProcedures,null
Activity.xpt,Activity_624,,id,Activity_624
Activity.xpt,Activity_624,,name,A624
Activity.xpt,Activity_624,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_624,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_624,,parent_rel,activities
Activity.xpt,Activity_624,,timelineId,null
Activity.xpt,Activity_672,,bcCategoryIds,Not in dataset
Activity.xpt,Activity_672,,bcSurrogateIds,False
Activity.xpt,Activity_672,,biomedicalConceptIds,null
Activity.xpt,Activity_672,,childIds,Not in dataset
Activity.xpt,Activity_672,,definedProcedures,null
Activity.xpt,Activity_672,,id,Activity_672
Activity.xpt,Activity_672,,name,A672
Activity.xpt,Activity_672,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_672,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_672,,parent_rel,activities
Activity.xpt,Activity_672,,timelineId,null
Activity.xpt,Activity_688,,bcCategoryIds,Not in dataset
Activity.xpt,Activity_688,,bcSurrogateIds,null
Activity.xpt,Activity_688,,biomedicalConceptIds,null
Activity.xpt,Activity_688,,childIds,Not in dataset
Activity.xpt,Activity_688,,definedProcedures,null
Activity.xpt,Activity_688,,id,Activity_688
Activity.xpt,Activity_688,,name,A688
Activity.xpt,Activity_688,,parent_entity,InterventionalStudyDesign
Activity.xpt,Activity_688,,parent_id,InterventionalStudyDesign_1
Activity.xpt,Activity_688,,parent_rel,activities
Activity.xpt,Activity_688,,timelineId,null
