Path,Attribute,Value
,bcCategoryIds,False
,bcSurrogateIds,Not in dataset
,biomedicalConceptIds,Not in dataset
,childIds,Not in dataset
,definedProcedures,Not in dataset
,id,Activity_1016
,name,A1016
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
,bcCategoryIds,null
,bcSurrogateIds,Not in dataset
,biomedicalConceptIds,Not in dataset
,childIds,Not in dataset
,definedProcedures,Not in dataset
,id,Activity_1020
,name,A1020
,parent_entity,InterventionalStudyDesign
,parent_id,InterventionalStudyDesign_1
,parent_rel,activities
,timelineId,Not in dataset
