parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,biomedicalConceptIds,bcSurrogateIds,bcCategoryIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_4,A4,,,FALSE,True,True,True,True,,Activity_8,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_8,A8,,,FALSE,True,True,True,False,Activity_4,Activity_12,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_12,A12,,,FALSE,True,True,True,,Activity_8,Activity_20,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_20,A20,,,FALSE,True,True,False,True,Activity_12,Activity_24,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_24,A24,,,FALSE,True,True,False,False,Activity_20,Activity_28,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_28,A28,,,FALSE,True,True,False,,Activity_24,Activity_36,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_36,A36,,,FALSE,True,True,,True,Activity_28,Activity_40,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_40,A40,,,FALSE,True,True,,False,Activity_36,Activity_44,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_44,A44,,,FALSE,True,True,,,Activity_40,Activity_68,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_68,A68,,,FALSE,True,False,True,True,Activity_44,Activity_72,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_72,A72,,,FALSE,True,False,True,False,Activity_68,Activity_76,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_76,A76,,,FALSE,True,False,True,,Activity_72,Activity_84,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_84,A84,,,FALSE,True,False,False,True,Activity_76,Activity_88,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_88,A88,,,FALSE,True,False,False,False,Activity_84,Activity_92,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_92,A92,,,FALSE,True,False,False,,Activity_88,Activity_100,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_100,A100,,,FALSE,True,False,,True,Activity_92,Activity_104,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_104,A104,,,FALSE,True,False,,False,Activity_100,Activity_108,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_108,A108,,,FALSE,True,False,,,Activity_104,Activity_132,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_132,A132,,,FALSE,True,,True,True,Activity_108,Activity_136,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_136,A136,,,FALSE,True,,True,False,Activity_132,Activity_140,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_140,A140,,,FALSE,True,,True,,Activity_136,Activity_148,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_148,A148,,,FALSE,True,,False,True,Activity_140,Activity_152,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_152,A152,,,FALSE,True,,False,False,Activity_148,Activity_156,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_156,A156,,,FALSE,True,,False,,Activity_152,Activity_164,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_164,A164,,,FALSE,True,,,True,Activity_156,Activity_168,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_168,A168,,,FALSE,True,,,False,Activity_164,Activity_172,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_172,A172,,,FALSE,True,,,,Activity_168,Activity_260,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_260,A260,,,FALSE,False,True,True,True,Activity_172,Activity_264,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_264,A264,,,FALSE,False,True,True,False,Activity_260,Activity_268,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_268,A268,,,FALSE,False,True,True,,Activity_264,Activity_276,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_276,A276,,,FALSE,False,True,False,True,Activity_268,Activity_280,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_280,A280,,,FALSE,False,True,False,False,Activity_276,Activity_284,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_284,A284,,,FALSE,False,True,False,,Activity_280,Activity_292,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_292,A292,,,FALSE,False,True,,True,Activity_284,Activity_296,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_296,A296,,,FALSE,False,True,,False,Activity_292,Activity_300,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_300,A300,,,FALSE,False,True,,,Activity_296,Activity_324,,Activity
