parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,definedProcedures,biomedicalConceptIds,bcSurrogateIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_13,A13,,,FALSE,True,True,True,True,,Activity_14,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_14,A14,,,FALSE,True,True,True,False,Activity_13,Activity_15,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_15,A15,,,FALSE,True,True,True,,Activity_14,Activity_29,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_29,A29,,,FALSE,True,True,False,True,Activity_15,Activity_30,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_30,A30,,,FALSE,True,True,False,False,Activity_29,Activity_31,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_31,A31,,,FALSE,True,True,False,,Activity_30,Activity_45,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_45,A45,,,FALSE,True,True,,True,Activity_31,Activity_46,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_46,A46,,,FALSE,True,True,,False,Activity_45,Activity_47,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_47,A47,,,FALSE,True,True,,,Activity_46,Activity_77,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_77,A77,,,FALSE,True,False,True,True,Activity_47,Activity_78,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_78,A78,,,FALSE,True,False,True,False,Activity_77,Activity_79,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_79,A79,,,FALSE,True,False,True,,Activity_78,Activity_93,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_93,A93,,,FALSE,True,False,False,True,Activity_79,Activity_94,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_94,A94,,,FALSE,True,False,False,False,Activity_93,Activity_95,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_95,A95,,,FALSE,True,False,False,,Activity_94,Activity_109,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_109,A109,,,FALSE,True,False,,True,Activity_95,Activity_110,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_110,A110,,,FALSE,True,False,,False,Activity_109,Activity_111,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_111,A111,,,FALSE,True,False,,,Activity_110,Activity_141,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_141,A141,,,FALSE,True,,True,True,Activity_111,Activity_142,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_142,A142,,,FALSE,True,,True,False,Activity_141,Activity_143,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_143,A143,,,FALSE,True,,True,,Activity_142,Activity_157,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_157,A157,,,FALSE,True,,False,True,Activity_143,Activity_158,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_158,A158,,,FALSE,True,,False,False,Activity_157,Activity_159,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_159,A159,,,FALSE,True,,False,,Activity_158,Activity_173,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_173,A173,,,FALSE,True,,,True,Activity_159,Activity_174,,Activity
