parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,biomedicalConceptIds,bcSurrogateIds,bcCategoryIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_769,A769,,,FALSE,True,True,True,True,,Activity_770,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_770,A770,,,FALSE,True,True,True,False,Activity_769,Activity_771,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_771,A771,,,FALSE,True,True,True,,Activity_770,Activity_773,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_773,A773,,,FALSE,True,True,False,True,Activity_771,Activity_774,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_774,A774,,,FALSE,True,True,False,False,Activity_773,Activity_775,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_775,A775,,,FALSE,True,True,False,,Activity_774,Activity_777,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_777,A777,,,FALSE,True,True,,True,Activity_775,Activity_778,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_778,A778,,,FALSE,True,True,,False,Activity_777,Activity_779,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_779,A779,,,FALSE,True,True,,,Activity_778,Activity_785,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_785,A785,,,FALSE,True,False,True,True,Activity_779,Activity_786,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_786,A786,,,FALSE,True,False,True,False,Activity_785,Activity_787,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_787,A787,,,FALSE,True,False,True,,Activity_786,Activity_789,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_789,A789,,,FALSE,True,False,False,True,Activity_787,Activity_790,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_790,A790,,,FALSE,True,False,False,False,Activity_789,Activity_791,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_791,A791,,,FALSE,True,False,False,,Activity_790,Activity_793,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_793,A793,,,FALSE,True,False,,True,Activity_791,Activity_794,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_794,A794,,,FALSE,True,False,,False,Activity_793,Activity_795,,Activity
