parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,biomedicalConceptIds,bcSurrogateIds,bcCategoryIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_772,A772,,,FALSE,True,True,True,,Activity_776,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_776,A776,,,FALSE,True,True,False,Activity_772,Activity_780,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_780,A780,,,FALSE,True,True,,Activity_776,Activity_788,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_788,A788,,,FALSE,True,False,True,Activity_780,Activity_792,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_792,A792,,,FALSE,True,False,False,Activity_788,Activity_796,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_796,A796,,,FALSE,True,False,,Activity_792,Activity_804,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_804,A804,,,FALSE,True,,True,Activity_796,Activity_808,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_808,A808,,,FALSE,True,,False,Activity_804,Activity_812,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_812,A812,,,FALSE,True,,,Activity_808,Activity_836,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_836,A836,,,FALSE,False,True,True,Activity_812,Activity_840,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_840,A840,,,FALSE,False,True,False,Activity_836,Activity_844,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_844,A844,,,FALSE,False,True,,Activity_840,Activity_852,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_852,A852,,,FALSE,False,False,True,Activity_844,Activity_868,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_868,A868,,,FALSE,False,,True,Activity_852,Activity_900,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_900,A900,,,FALSE,,True,True,Activity_868,Activity_904,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_904,A904,,,FALSE,,True,False,Activity_900,Activity_908,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_908,A908,,,FALSE,,True,,Activity_904,Activity_916,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_916,A916,,,FALSE,,False,True,Activity_908,Activity_932,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_932,A932,,,FALSE,,,True,Activity_916,,,Activity
