parent_entity,parent_id,parent_rel,rel_type,id,name,label,description,notes,biomedicalConceptIds,bcSurrogateIds,childIds,previousId,nextId,timelineId,instanceType
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_781,A781,,,FALSE,True,True,True,,Activity_782,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_782,A782,,,FALSE,True,True,False,Activity_781,Activity_783,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_783,A783,,,FALSE,True,True,,Activity_782,Activity_797,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_797,A797,,,FALSE,True,False,True,Activity_783,Activity_798,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_798,A798,,,FALSE,True,False,False,Activity_797,Activity_799,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_799,A799,,,FALSE,True,False,,Activity_798,Activity_813,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_813,A813,,,FALSE,True,,True,Activity_799,Activity_814,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_814,A814,,,FALSE,True,,False,Activity_813,Activity_815,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_815,A815,,,FALSE,True,,,Activity_814,Activity_845,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_845,A845,,,FALSE,False,True,True,Activity_815,Activity_846,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_846,A846,,,FALSE,False,True,False,Activity_845,Activity_847,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_847,A847,,,FALSE,False,True,,Activity_846,Activity_861,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_861,A861,,,FALSE,False,False,True,Activity_847,Activity_877,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_877,A877,,,FALSE,False,,True,Activity_861,Activity_909,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_909,A909,,,FALSE,,True,True,Activity_877,Activity_910,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_910,A910,,,FALSE,,True,False,Activity_909,Activity_911,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_911,A911,,,FALSE,,True,,Activity_910,Activity_925,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_925,A925,,,FALSE,,False,True,Activity_911,Activity_941,,Activity
InterventionalStudyDesign,InterventionalStudyDesign_1,activities,definition,Activity_941,A941,,,FALSE,,,True,Activity_925,,,Activity
