dataset,variable,label,type,length
advs.xpt,SUBJID,Subject Identifier for the Study,Char,50
advs.xpt,AVISIT,Analysis Visit,Char,50
advs.xpt,ADY,Analysis Relative Day,Num,8
advs.xpt,PARAM,Parameter,Char,50
advs.xpt,BASE,Baseline Value,Num,8
advs.xpt,CHG,Change from Baseline,Num,8
advs.xpt,AVAL,Analysis Value,Num,8
advs.xpt,DTYPE,Derivation Type,Char,50
advs.xpt,ANL01FL,Analysis Flag zz,Char,50
advs.xpt,CRIT1,Analysis Criterion y,Char,50
advs.xpt,CRIT1FL,Criterion y Evaluation Result Flag,Char,50
advs.xpt,ADT,Analysis Date,Num,8
advs.xpt,ADY,Analysis Relative Day,Num,8
