dataset,variable,label,type,length
adlb.xpt,STUDYID,Study Identifier,Char,50
adlb.xpt,USUBJID,Unique Subject Identifier,Char,50
adlb.xpt,SUBJID,Subject Identifier for the Study,Char,50
adlb.xpt,SITEID,Study Site Identifier,Char,50
adlb.xpt,ASEQ,Analysis Sequence Number,Num,8
adlb.xpt,TRTP,Planned Treatment,Char,50
adlb.xpt,TRTPN,Planned Treatment (N),Num,8
adlb.xpt,TRTA,Actual Treatment,Char,50
adlb.xpt,TRTAN,Actual Treatment (N),Num,8
adlb.xpt,TRTPGy,Planned Pooled Treatment y,Char,50
adlb.xpt,TRTPGyN,Planned Pooled Treatment y (N),Num,8
adlb.xpt,TRTAGy,Actual Pooled Treatment y,Char,50
adlb.xpt,TRTAGyN,Actual Pooled Treatment y (N),Num,8
adlb.xpt,DOSEP,Planned Treatment Dose,Num,8
adlb.xpt,DOSCUMP,Cumulative Planned Treatment Dose,Num,8
adlb.xpt,DOSEA,Actual Treatment Dose,Num,8
adlb.xpt,DOSCUMA,Cumulative Actual Treatment Dose,Num,8
adlb.xpt,DOSEU,Treatment Dose Units,Char,50
adlb.xpt,ADT,Analysis Date,Num,8
adlb.xpt,ATM,Analysis Time,Num,8
adlb.xpt,ADTM,Analysis Datetime,Num,8
adlb.xpt,ADY,Analysis Relative Day,Num,8
adlb.xpt,ADTF,Analysis Date Imputation Flag,Char,50
adlb.xpt,ATMF,Analysis Time Imputation Flag,Char,50
adlb.xpt,ASTDT,Analysis Start Date,Num,8
adlb.xpt,ASTTM,Analysis Start Time,Num,8
adlb.xpt,ASTDTM,Analysis Start Datetime,Num,8
adlb.xpt,ASTDY,Analysis Start Relative Day,Num,8
adlb.xpt,ASTDTF,Analysis Start Date Imputation Flag,Char,50
adlb.xpt,ASTTMF,Analysis Start Time Imputation Flag,Char,50
adlb.xpt,AENDT,Analysis End Date,Num,8
adlb.xpt,AENTM,Analysis End Time,Num,8
adlb.xpt,AENDTM,Analysis End Datetime,Num,8
adlb.xpt,AENDY,Analysis End Relative Day,Num,8
adlb.xpt,AENDTF,Analysis End Date Imputation Flag,Char,50
adlb.xpt,AENTMF,Analysis End Time Imputation Flag,Char,50
adlb.xpt,AVISIT,Analysis Visit,Char,50
adlb.xpt,AVISITN,Analysis Visit (N),Num,8
adlb.xpt,ATPT,Analysis Timepoint,Char,50
adlb.xpt,ATPTN,Analysis Timepoint (N),Num,8
adlb.xpt,ATPTREF,Analysis Timepoint Reference,Char,8
adlb.xpt,APHASE,Phase,Char,50
adlb.xpt,APHASEN,Phase (N),Num,8
adlb.xpt,APERIOD,Period,Num,8
adlb.xpt,APERIODC,Period (C),Char,50
adlb.xpt,ASPER,Subperiod within Period,Num,8
adlb.xpt,ASPERC,Subperiod within Period (C),Char,50
adlb.xpt,ARELTM,Analysis Relative Time,Num,8
adlb.xpt,ARELTMU,Analysis Relative Time Unit,Char,50
adlb.xpt,APERSDT,Period Start Date,Num,8
adlb.xpt,APERSTM,Period Start Time,Num,8
adlb.xpt,APERSDTM,Period Start Datetime,Num,8
adlb.xpt,APERSDTF,Period Start Date Imput. Flag,Char,50
adlb.xpt,APERSTMF,Period Start Time Imput. Flag,Char,50
adlb.xpt,APEREDT,Period End Date,Num,8
adlb.xpt,APERETM,Period End Time,Num,8
adlb.xpt,APEREDTM,Period End Datetime,Num,8
adlb.xpt,APEREDTF,Period End Date Imput. Flag,Char,50
adlb.xpt,APERETMF,Period End Time Imput. Flag,Char,50
