STUDYID,DOMAIN,ARMCD,ARM,TAETORD,ETCD,ELEMENT,TABRANCH,TATRANS,EPOCH
CDISCPILOT01,TA,PLACEBO,Placebo,1,SCREEN,Screening,Randomized to Placebo,,SCREENING
CDISCPILOT01,TA,PLACEBO,Placebo,2,PLACEBO,Placebo,,,TREATMENT
CDISCPILOT01,TA,ZANOMALINE_LOW_DOSE_54_mg,Zanomaline Low Dose (54 mg),1,SCREEN,Screening,Randomized to Zanomaline Low Dose,,SCREENING
CDISCPILOT01,TA,ZANOMALINE_LOW_DOSE_54_mg,Zanomaline Low Dose (54 mg),2,LOW,Zanomaline 54 mg,,,TREATMENT
CDISCPILOT01,TA,ZANOMALINE_HIGH_DOSE_81_mg,Zanomaline High Dose (81 mg),1,SCREEN,Screening,Randomized to Zanomaline High Dose,,SCREENING
CDISCPILOT01,TA,ZANOMALINE_HIGH_DOSE_81_mg,Zanomaline High Dose (81 mg),2,TITRATE,Zanomaline 54 mg Titration,,,TREATMENT
CDISCPILOT01,TA,ZANOMALINE_HIGH_DOSE_81_mg,Zanomaline High Dose (81 mg),3,HIGH,Zanomaline 81 mg,,,TREATMENT
CDISCPILOT01,TA,ZANOMALINE_HIGH_DOSE_81_mg,Zanomaline High Dose (81 mg),4,TITRATE,Zanomaline 54 mg Titration,,,TREATMENT
CDISCPILOT01,TA,ACME_LOW_D,ACME Low Dose,4,TITRATE,Zanomaline 54 mg Titration,,,TREATMENT
CDISCPILOT01,TA,ACME_HIGH_D,ACME High Dose,4,TITRATE,Zanomaline 54 mg Titration,,,TREATMENT
