dataset,variable,label,type,length
dm.xpt,STUDYID,Study Identifier,Char,12
dm.xpt,DOMAIN,Domain Abbreviation,Char,2
dm.xpt,USUBJID,Unique Subject Identifier,Char,20
dm.xpt,SUBJID,Subject Identifier for the Study,Char,12
dm.xpt,RFSTDTC,Subject Reference Start Date/Time,Char,10
dm.xpt,RFENDTC,Subject Reference End Date/Time,Char,10
dm.xpt,RFXSTDTC,Date/Time of First Study Treatment,Char,10
dm.xpt,RFXENDTC,Date/Time of Last Study Treatment,Char,10
dm.xpt,ARMCD,Planned Arm Code,Char,8
dm.xpt,ARM,Description of Planned Arm,Char,28
dm.xpt,SETCD,Set Code,Char,8
tx.xpt,STUDYID,Study Identifier,Char,12
tx.xpt,DOMAIN,Domain Abbreviation,Char,2
tx.xpt,SETCD,Set Code,Char,8
tx.xpt,TXSEQ,Subject Identifier for the Study,Num,2
sc.xpt,STUDYID,Study Identifier,Char,10
sc.xpt,DOMAIN,Domain Abbreviation,Char,2
sc.xpt,USUBJID,Unique Subject Identifier,Char,14
sc.xpt,SCSEQ,Sequence Number ,Num,2
sc.xpt,SCTESTCD,Subject Characteristic Short Name ,Char,8
sc.xpt,SCTEST,Subject Characteristic ,Char,40
sc.xpt,SCORRES,Result or Findings as Collected ,Char,14
sc.xpt,SCORRESU,Unit of the Original Result ,Char,14
sc.xpt,SCSTRESC ,Standardized Result in Character Format ,Char,14
sc.xpt,SCSTRESN,Standardized Result in Numeric Format ,Num,8
sc.xpt,SCSTRESU,Unit of the Standardized Result ,Char,14
sc.xpt,SCDTC,Date/Time of Collection ,Char,20
sc.xpt,SCDY,Study Day of Collection ,Num,8
