STUDYID,DOMAIN,SPTOBID,IGDCMPID,IQCAT,IQIGDPLX,IQPARENT,IQLEVEL,IQFUNCT,IQVALTRG,IQVALMIN,IQVALMAX,IQVALU
TOB07,IQ,CIG01A,Tobacco Filler,TOBACCO INGREDIENT,,,1,,672.5,661.3,683.7,mg/cigarette
TOB07,IQ,CIG01A,Burley Tobacco,TOBACCO INGREDIENT,,Tobacco Filler,2,,19,17,21,mg/cigarette
TOB07,IQ,CIG01A,Bright Tobacco,TOBACCO INGREDIENT,,Tobacco Filler,2,,300,295,305,mg/cigarette
TOB07,IQ,CIG01A,Oriental Tobacco,TOBACCO INGREDIENT,,Tobacco Filler,2,,115,113,117,mg/cigarette
TOB07,IQ,CIG02A,Reconstituted Tobacco,TOBACCO INGREDIENT,,Tobacco Filler,2,,231,229,233,mg/cigarette
TOB07,IQ,CIG02A,Burley Tobacco 2,TOBACCO INGREDIENT,,Reconstituted Tobacco,3,,19,18,20,mg/cigarette
TOB07,IQ,CIG01A,Burley Tobacco 2,TOBACCO INGREDIENT,,Reconstituted Tobacco,3,,103,101,105,mg/cigarette
TOB07,IQ,CIG01A,Oriental Tobacco,TOBACCO INGREDIENT,,Reconstituted Tobacco,3,,65,63,67,mg/cigarette
TOB07,IQ,CIG01A,Methylcellulose,NON-TOBACCO INGREDIENT,,Reconstituted Tobacco,3,Binder,20,19,21,mg/cigarette
TOB07,IQ,CIG01A,"1,3-Butanediol",NON-TOBACCO INGREDIENT,,Reconstituted Tobacco,3,Humectant,24,23,25,mg/cigarette
TOB07,IQ,CIG01A,Cocoa Extract,NON-TOBACCO INGREDIENT,,Tobacco Filler,2,Flavor,7,6.75,7.25,mg/cigarette
TOB07,IQ,CIG01A,Butyric Acid,NON-TOBACCO INGREDIENT,,Tobacco Filler,2,Flavor,0.5,0.55,0.45,mg/cigarette
