STUDYID,DOMAIN,SPTOBID,IGDCMPID,IQCAT,IQPARENT,IQLEVEL,IQFUNCT,IQVALTRG,IQVALMIN,IQVALMAX,IQVALU
TOB07,IQ,CIG01A,Methylcellulose,NON-TOBACCO INGREDIENT,Reconstituted Tobacco,3,Binder,20,19,21,mg/cigarette
TOB07,IQ,CIG01A,"1,3-Butanediol",NON-TOBACCO INGREDIENT,Reconstituted Tobacco,3,Humectant,24,23,25,mg/cigarette
TOB07,IQ,CIG01A,Cocoa Extract,NON-TOBACCO INGREDIENT,Tobacco Filler,2,Flavor,7,6.75,7.25,mg/cigarette
TOB07,IQ,CIG01A,Butyric Acid,NON-TOBACCO INGREDIENT,Tobacco Filler,2,Flavor,0.5,0.55,0.45,mg/cigarette
TOB07,IQ,CIG01A,Cellulose Filter A,NON-TOBACCO INGREDIENT,,1,Filter,164,163,165,mg/cigarette
TOB07,IQ,CIG01A,Cellulose Acetate,NON-TOBACCO INGREDIENT,Cellulose Filter A,2,Filtration,155,154,156,mg/cigarette
TOB07,IQ,CIG03A,Triacetin,NON-TOBACCO INGREDIENT,Cellulose Filter A,2,Plasticizer,9,8,10,mg/cigarette
TOB07,IQ,CIG04A,FSC Paper B,NON-TOBACCO INGREDIENT,,1,Cigarette Paper (Wrapper),50,49,51,mg/cigarette
TOB07,IQ,CIG01A,Cellulose Pulp,NON-TOBACCO INGREDIENT,FSC Paper B,2,Fiber,30,29,31,mg/cigarette
TOB07,IQ,CIG01A,Calcium Carbonate,NON-TOBACCO INGREDIENT,FSC Paper B,2,Filler,15,14,16,mg/cigarette
TOB07,IQ,CIG01A,Sodium Alginate,NON-TOBACCO INGREDIENT,FSC Paper B,2,Reduced ignition propensity,2,1.75,2.25,mg/cigarette
