dataset,variable,label,type,length
iq.xpt,STUDYID,Study Identifier,Char,50
iq.xpt,DOMAIN,Domain Abbreviation,Char,50
iq.xpt,SPTOBID,Applicant-Defined Tobacco Product ID,Char,50
iq.xpt,IGDCMPID,Ingredient or Component Identifier,Char,50
iq.xpt,IQCAT,Category of Ingredient or Component,Char,50
iq.xpt,IQPARENT,Parent of Ingredient or Component,Char,50
iq.xpt,IQLEVEL,Ingredient Level in Hierarchy,Num,50
iq.xpt,IQFUNCT,Ingredient Function,Char,50
iq.xpt,IQVALTRG,Ingredient Target Value,Num,50
iq.xpt,IQVALMIN,Ingredient Minimum Value,Num,50
iq.xpt,IQVALMAX,Ingredient Maximum Value,Num,50
iq.xpt,IQVALU,Ingredient Value Unit,Char,50
