parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,value,valueLabel,windowLabel,windowLower,windowUpper,instanceType,relativeToFrom,relativeToFrom.id,relativeToFrom.code,relativeToFrom.codeSystem,relativeToFrom.codeSystemVersion,relativeToFrom.decode,type,type.id,type.code,type.codeSystem,type.codeSystemVersion,type.decode,relativeToScheduledInstanceId,relativeFromScheduledInstanceId
ScheduledActivityInstance,ScheduledActivityInstance_1,scheduleInstanceTimings,definition,Timing_1,Timing 1,24 hours after Y +/- 30 mins,24 Hours,PT24H,24 Hours,+/- 30 mins,PT30M,,Timing,True,Code_84,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_96,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_1,ScheduledActivityInstance_0
ScheduledActivityInstance,ScheduledActivityInstance_2,scheduleInstanceTimings,definition,Timing_2,Timing 2,13 days after Z +1 day,+13 Days,P13D,13 Days,1..1,,P1D,Timing,True,Code_89,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_101,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_2,ScheduledActivityInstance_1
ScheduledActivityInstance,ScheduledActivityInstance_3,scheduleInstanceTimings,definition,Timing_3,Timing 3,14 days after W +1 day/-2 days,+14 Days,P14D,14 Days,,P2D,P1D,Timing,True,Code_94,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_106,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_3,ScheduledActivityInstance_2
ScheduledActivityInstance,ScheduledActivityInstance_4,scheduleInstanceTimings,definition,Timing_4,Timing 4,1 day after V +1hr,+1 Days,P1D,1 Day,,PT1H,,Timing,True,Code_99,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_111,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_4,ScheduledActivityInstance_3
ScheduledActivityInstance,ScheduledActivityInstance_5,scheduleInstanceTimings,definition,Timing_5,Timing 5,31 days after X +/- 3 days,+31 Days,P31D,31 Days,3..3,,,Timing,True,Code_104,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_116,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_5,ScheduledActivityInstance_4
ScheduledActivityInstance,ScheduledActivityInstance_6,scheduleInstanceTimings,definition,Timing_6,Timing 6,1 day after T (and up to 1 hr after),+1 Days,P1D,1 Day,,,PT1H,Timing,True,Code_109,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_121,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_6,ScheduledActivityInstance_5
ScheduledActivityInstance,ScheduledActivityInstance_7,scheduleInstanceTimings,definition,Timing_7,Timing 7,13 days before D (and up to 5 days before),13 Days,P13D,13 Days,,P5D,,Timing,True,Code_114,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_87,C99901x2,http://www.cdisc.org,2022-12-16,Before,ScheduledActivityInstance_7,ScheduledActivityInstance_6
Encounter,Encounter_1,scheduledAtId,reference,Timing_1,Timing 1,24 hours after Y +/- 30 mins,24 Hours,PT24H,24 Hours,+/- 30 mins,PT30M,,Timing,True,Code_84,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_96,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_1,ScheduledActivityInstance_0
Encounter,Encounter_2,scheduledAtId,reference,Timing_2,Timing 2,13 days after Z +1 day,+13 Days,P13D,13 Days,1..1,,P1D,Timing,True,Code_89,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_101,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_2,ScheduledActivityInstance_1
Encounter,Encounter_3,scheduledAtId,reference,Timing_3,Timing 3,14 days after W +1 day/-2 days,+14 Days,P14D,14 Days,,P2D,P1D,Timing,True,Code_94,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_106,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_3,ScheduledActivityInstance_2
Encounter,Encounter_4,scheduledAtId,reference,Timing_4,Timing 4,1 day after V +1hr,+1 Days,P1D,1 Day,,PT1H,,Timing,True,Code_99,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_111,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_4,ScheduledActivityInstance_3
Encounter,Encounter_5,scheduledAtId,reference,Timing_5,Timing 5,31 days after X +/- 3 days,+31 Days,P31D,31 Days,3..3,,,Timing,True,Code_104,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_116,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_5,ScheduledActivityInstance_4
Encounter,Encounter_6,scheduledAtId,reference,Timing_6,Timing 6,1 day after T (and up to 1 hr after),+1 Days,P1D,1 Day,,,PT1H,Timing,True,Code_109,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_121,C99901x1,http://www.cdisc.org,2022-12-16,After,ScheduledActivityInstance_6,ScheduledActivityInstance_5
Encounter,Encounter_7,scheduledAtId,reference,Timing_7,Timing 7,13 days before D (and up to 5 days before),13 Days,P13D,13 Days,,P5D,,Timing,True,Code_114,C99900x1,http://www.cdisc.org,2022-12-16,Start to Start,True,Code_87,C99901x2,http://www.cdisc.org,2022-12-16,Before,ScheduledActivityInstance_7,ScheduledActivityInstance_6
