parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,definedProcedures,biomedicalConceptIds,bcSurrogateIds,bcCategoryIds,previousId,nextId,timelineId
StudyDesign,StudyDesign_1,activities,definition,Activity_1,Activity 1,,,Activity,False,False,False,False,,Activity_2,
StudyDesign,StudyDesign_1,activities,definition,Activity_2,Activity 2,,,Activity,False,False,False,,Activity_1,Activity_3,
StudyDesign,StudyDesign_1,activities,definition,Activity_3,Activity 3,,,Activity,False,False,,False,Activity_2,Activity_4,
StudyDesign,StudyDesign_1,activities,definition,Activity_4,Activity 4,,,Activity,False,False,,,Activity_3,Activity_5,
StudyDesign,StudyDesign_1,activities,definition,Activity_5,Activity 5,,,Activity,False,,False,False,Activity_4,Activity_6,
StudyDesign,StudyDesign_1,activities,definition,Activity_6,Activity 6,,,Activity,False,,False,,Activity_5,Activity_7,
StudyDesign,StudyDesign_1,activities,definition,Activity_7,Activity 7,,,Activity,False,,,False,Activity_6,Activity_8,
StudyDesign,StudyDesign_1,activities,definition,Activity_8,Activity 8,,,Activity,False,,,,Activity_7,Activity_9,
StudyDesign,StudyDesign_1,activities,definition,Activity_9,Activity 9,,,Activity,,False,False,False,Activity_8,Activity_10,
StudyDesign,StudyDesign_1,activities,definition,Activity_10,Activity 10,,,Activity,,False,False,,Activity_9,Activity_11,
StudyDesign,StudyDesign_1,activities,definition,Activity_11,Activity 11,,,Activity,,False,,False,Activity_10,Activity_12,
StudyDesign,StudyDesign_1,activities,definition,Activity_12,Activity 12,,,Activity,,False,,,Activity_11,Activity_13,
StudyDesign,StudyDesign_1,activities,definition,Activity_13,Activity 13,,,Activity,,,False,False,Activity_12,Activity_14,
StudyDesign,StudyDesign_1,activities,definition,Activity_14,Activity 14,,,Activity,,,False,,Activity_13,Activity_15,
StudyDesign,StudyDesign_1,activities,definition,Activity_15,Activity 15,,,Activity,,,,False,Activity_14,Activity_16,
StudyDesign,StudyDesign_1,activities,definition,Activity_16,Activity 16,,,Activity,,,,,Activity_15,,
