parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,text,dictionaryId,purpose,instanceType,level,level.id,level.code,level.codeSystem,level.codeSystemVersion,level.decode
Objective,Objective_1,endpoints,definition,Endpoint_1,END1,,,"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24",,,Endpoint,True,Code_550,C94496,http://www.cdisc.org,2023-12-15,Primary Endpoint
Objective,Objective_1,endpoints,definition,Endpoint_2,END2,,,Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24,,,Endpoint,True,Code_552,C94496,http://www.cdisc.org,2023-12-15,Primary Endpoint
Objective,Objective_2,endpoints,definition,Endpoint_3,END3,,,Adverse events,,,Endpoint,True,Code_553,C94496,http://www.cdisc.org,2023-12-15,Primary Endpoint
Objective,Objective_2,endpoints,definition,Endpoint_4,END4,,,"Vital signs (weight, standing and supine blood pressure, heart rate)",,,Endpoint,True,Code_555,C94496,http://www.cdisc.org,2023-12-15,Primary Endpoint
Objective,Objective_2,endpoints,definition,Endpoint_5,END5,"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation",,Laboratory evaluations (Change from Baseline),,,Endpoint,True,Code_556,C94496,http://www.cdisc.org,2023-12-15,Primary Endpoint
Objective,Objective_3,endpoints,definition,Endpoint_6,END6,,,"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16",,,Endpoint,True,Code_557,C139173,http://www.cdisc.org,2023-12-15,Secondary Endpoint
Objective,Objective_3,endpoints,definition,Endpoint_7,END7,,,Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16,,,Endpoint,True,Code_559,C139173,http://www.cdisc.org,2023-12-15,Secondary Endpoint
Objective,Objective_3,endpoints,definition,Endpoint_8,END8,,,Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24,,,Endpoint,True,Code_560,C139173,http://www.cdisc.org,2023-12-15,Secondary Endpoint
Objective,Objective_4,endpoints,definition,Endpoint_9,END9,,,*** To be determined from protocol ***,,,Endpoint,True,Code_561,C139173,http://www.cdisc.org,2023-12-15,Secondary Endpoint
Objective,Objective_5,endpoints,definition,Endpoint_10,END10,,,*** To be determined from protocol ***,,,Endpoint,True,Code_563,C139173,http://www.cdisc.org,2023-12-15,Secondary Endpoint
Objective,Objective_6,endpoints,definition,Endpoint_11,END11,,,*** To be determined from protocol ***,,,Endpoint,True,Code_565,C139173,http://www.cdisc.org,2023-12-15,Secondary Endpoint
