parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,defaultConditionId,epochId,timelineId,timelineExitId,instanceType,activityIds,encounterId
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_9,SCREEN-1,-,Screen One,ScheduledActivityInstance_11,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_11,DOSE-1,-,Dose,ScheduledActivityInstance_24,StudyEpoch_2,ScheduleTimeline_14,,ScheduledActivityInstance,True,Encounter_2
ScheduleTimeline,ScheduleTimeline_14,instances,definition,ScheduledActivityInstance_12,WK2-1,-,Week 2,,StudyEpoch_2,,ScheduleTimelineExit_2,ScheduledActivityInstance,True,Encounter_3
ScheduleTimeline,ScheduleTimeline_4,instances,definition,ScheduledActivityInstance_24,WK26-1,-,Week 26,,StudyEpoch_3,,ScheduleTimelineExit_4,ScheduledActivityInstance,True,Encounter_4
ScheduleTimeline,ScheduleTimeline_4,entryId,reference,ScheduledActivityInstance_9,SCREEN-1,-,Screen One,ScheduledActivityInstance_11,StudyEpoch_1,,,ScheduledActivityInstance,True,Encounter_1
ScheduleTimeline,ScheduleTimeline_14,entryId,reference,ScheduledActivityInstance_12,WK2-1,-,Week 2,,StudyEpoch_2,,ScheduleTimelineExit_2,ScheduledActivityInstance,True,Encounter_3
ScheduledActivityInstance,ScheduledActivityInstance_9,defaultConditionId,reference,ScheduledActivityInstance_11,DOSE-1,-,Dose,ScheduledActivityInstance_24,StudyEpoch_2,ScheduleTimeline_14,,ScheduledActivityInstance,True,Encounter_2
ScheduledActivityInstance,ScheduledActivityInstance_11,timelineId,reference,ScheduledActivityInstance_12,WK2-1,-,Week 2,,StudyEpoch_2,,ScheduleTimelineExit_2,ScheduledActivityInstance,True,Encounter_3
ScheduledDecisionInstance,ScheduledDecisionInstance_1,defaultConditionId,reference,ScheduledActivityInstance_24,WK26-1,-,Week 26,,StudyEpoch_3,,ScheduleTimelineExit_4,ScheduledActivityInstance,True,Encounter_4
ScheduledActivityInstance,ScheduledActivityInstance_12,defaultConditionId,reference,ScheduledActivityInstance_24,WK26-1,-,Week 26,,StudyEpoch_3,,ScheduleTimelineExit_4,ScheduledActivityInstance,True,Encounter_4
ScheduleTimeline,ScheduleTimeline_5,instances,definition,ScheduledActivityInstance_30,SCREEN-2,-,Screen One,ScheduledActivityInstance_31,StudyEpoch_4,,,ScheduledActivityInstance,True,Encounter_5
ScheduleTimeline,ScheduleTimeline_5,instances,definition,ScheduledActivityInstance_31,DOSE-2,-,Dose,ScheduledActivityInstance_33,StudyEpoch_5,ScheduleTimeline_15,,ScheduledActivityInstance,True,Encounter_6
ScheduleTimeline,ScheduleTimeline_15,instances,definition,ScheduledActivityInstance_32,WK2-2,-,Week 2,,StudyEpoch_5,,ScheduleTimelineExit_3,ScheduledActivityInstance,True,Encounter_7
ScheduleTimeline,ScheduleTimeline_5,instances,definition,ScheduledActivityInstance_33,WK26-2,-,Week 26,,StudyEpoch_6,,ScheduleTimelineExit_5,ScheduledActivityInstance,True,Encounter_8
ScheduleTimeline,ScheduleTimeline_5,entryId,reference,ScheduledActivityInstance_30,SCREEN-2,-,Screen One,ScheduledActivityInstance_31,StudyEpoch_4,,,ScheduledActivityInstance,True,Encounter_5
ScheduleTimeline,ScheduleTimeline_15,entryId,reference,ScheduledActivityInstance_32,WK2-2,-,Week 2,,StudyEpoch_5,,ScheduleTimelineExit_3,ScheduledActivityInstance,True,Encounter_7
ScheduledActivityInstance,ScheduledActivityInstance_30,defaultConditionId,reference,ScheduledActivityInstance_31,DOSE-2,-,Dose,ScheduledActivityInstance_33,StudyEpoch_5,ScheduleTimeline_15,,ScheduledActivityInstance,True,Encounter_6
ScheduledActivityInstance,ScheduledActivityInstance_31,timelineId,reference,ScheduledActivityInstance_32,WK2-2,-,Week 2,,StudyEpoch_5,,ScheduleTimelineExit_3,ScheduledActivityInstance,True,Encounter_7
ScheduledActivityInstance,ScheduledActivityInstance_31,defaultConditionId,reference,ScheduledActivityInstance_33,WK26-2,-,Week 26,,StudyEpoch_6,,ScheduleTimelineExit_5,ScheduledActivityInstance,True,Encounter_8
