parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,instanceType,environmentalSetting,contactModes,type,type.id,type.code,type.codeSystem,type.codeSystemVersion,type.decode,transitionEndRule,transitionEndRule.id,transitionEndRule.name,transitionEndRule.description,transitionEndRule.label,transitionEndRule.text,nextId,transitionStartRule,transitionStartRule.id,transitionStartRule.name,transitionStartRule.description,transitionStartRule.label,transitionStartRule.text,scheduledAtId,previousId
StudyDesign,StudyDesign_1,encounters,definition,Encounter_1,E1,Screening encounter,Screening 1,Encounter,True,True,True,Code_83,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_2,ENCOUNTER_START_RULE_1,,,completion of screening activities,Encounter_2,True,TransitionRule_1,ENCOUNTER_START_RULE_1,,,Subject identifier,,
StudyDesign,StudyDesign_1,encounters,definition,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_3,ENCOUNTER_START_RULE_2,,,subject leaves clinic after connection of ambulatory ECG machine,Encounter_3,,,,,,,Timing_2,Encounter_1
StudyDesign,StudyDesign_1,encounters,definition,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline 1,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,Encounter_4,True,TransitionRule_4,ENCOUNTER_START_RULE_3,,,subject has connection of ambulatory ECG machine removed,,Encounter_2
StudyDesign,StudyDesign_1,encounters,definition,Encounter_4,E4,Baseline encounter,Baseline 2,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,,True,TransitionRule_6,ENCOUNTER_START_RULE_4,,,subject meets condition,Timing_xx,Encounter_3
Encounter,Encounter_1,nextId,reference,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_3,ENCOUNTER_START_RULE_2,,,subject leaves clinic after connection of ambulatory ECG machine,Encounter_3,,,,,,,Timing_2,Encounter_1
Encounter,Encounter_2,previousId,reference,Encounter_1,E1,Screening encounter,Screening 1,Encounter,True,True,True,Code_83,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_2,ENCOUNTER_START_RULE_1,,,completion of screening activities,Encounter_2,True,TransitionRule_1,ENCOUNTER_START_RULE_1,,,Subject identifier,,
Encounter,Encounter_2,nextId,reference,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline 1,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,Encounter_4,True,TransitionRule_4,ENCOUNTER_START_RULE_3,,,subject has connection of ambulatory ECG machine removed,,Encounter_2
Encounter,Encounter_3,previousId,reference,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_3,ENCOUNTER_START_RULE_2,,,subject leaves clinic after connection of ambulatory ECG machine,Encounter_3,,,,,,,Timing_2,Encounter_1
Encounter,Encounter_3,nextId,reference,Encounter_4,E4,Baseline encounter,Baseline 2,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,,True,TransitionRule_6,ENCOUNTER_START_RULE_4,,,subject meets condition,Timing_xx,Encounter_3
Encounter,Encounter_4,previousId,reference,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline 1,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,Encounter_4,True,TransitionRule_4,ENCOUNTER_START_RULE_3,,,subject has connection of ambulatory ECG machine removed,,Encounter_2
ScheduledActivityInstance,ScheduledActivityInstance_9,encounterId,reference,Encounter_1,E1,Screening encounter,Screening 1,Encounter,True,True,True,Code_83,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_2,ENCOUNTER_START_RULE_1,,,completion of screening activities,Encounter_2,True,TransitionRule_1,ENCOUNTER_START_RULE_1,,,Subject identifier,,
ScheduledActivityInstance,ScheduledActivityInstance_10,encounterId,reference,Encounter_2,E2,Screening encounter - Ambulatory ECG Placement,Screening 2,Encounter,True,True,True,Code_86,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_3,ENCOUNTER_START_RULE_2,,,subject leaves clinic after connection of ambulatory ECG machine,Encounter_3,,,,,,,Timing_2,Encounter_1
ScheduledActivityInstance,ScheduledActivityInstance_11,encounterId,reference,Encounter_3,E3,Baseline encounter - Ambulatory ECG Removal,Baseline 1,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,Encounter_4,True,TransitionRule_4,ENCOUNTER_START_RULE_3,,,subject has connection of ambulatory ECG machine removed,,Encounter_2
ScheduledActivityInstance,ScheduledActivityInstance_12,encounterId,reference,Encounter_4,E4,Baseline encounter,Baseline 2,Encounter,True,True,True,Code_89,C25716,http://www.cdisc.org,2023-12-15,Visit,True,TransitionRule_5,ENCOUNTER_START_RULE_3,,,Radomized,,True,TransitionRule_6,ENCOUNTER_START_RULE_4,,,subject meets condition,Timing_xx,Encounter_3
