parent_entity,parent_id,parent_rel,rel_type,id,otherReason,code,code.id,code.code,code.codeSystem,code.codeSystemVersion,code.decode,code.instanceType,instanceType
StudyAmendment,StudyAmendment_1,primaryReason,definition,StudyAmendmentReason_1,,TRUE,Code_1,C207600,http://www.cdisc.org,2024-09-27,Change In Strategy,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_2,,TRUE,Code_2,C207601xx,http://www.cdisc.org,2024-09-27,Change In Strategy,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_3,,TRUE,Code_3,C207602,CDISC Terminology,2024-09-27,IMP Addition,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_4,,TRUE,Code_4,C207603,http://www.cdisc.org,2024-09-27,Inconsistency And/Or Error In The Protocol,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_5,,TRUE,Code_5,C207604,http://www.cdisc.org,2024-SEP-27,Investigator/Site Feedback,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_14,Updated inclusion criteria,TRUE,Code_14,C17649,http://www.cdisc.org,2024-09-27,OTHER,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_15,,TRUE,Code_15,C48660,http://www.cdisc.org,2024-09-27,NOT APPLICABLE,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_17,Updated exclusion criteria,TRUE,Code_17,C17649,http://www.cdisc.org,2024-09-27,Other,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_18,,TRUE,Code_18,C48660,http://www.cdisc.org,2024-09-27,Not Applicable,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_19,,TRUE,Code_19,C0031X,http://www.cdisc.org,2024-09-27,Extension,Code,StudyAmendmentReason
