parent_entity,parent_id,parent_rel,rel_type,id,otherReason,code,code.id,code.code,code.codeSystem,code.codeSystemVersion,code.decode,code.instanceType,instanceType
StudyAmendment,StudyAmendment_1,primaryReason,definition,StudyAmendmentReason_1,,TRUE,Code_1,C207600,http://www.cdisc.org,2024-09-27,Change In Standard Of Care,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_2,,TRUE,Code_2,C207601,http://www.cdisc.org,2024-09-27,Change In Strategy,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_3,,TRUE,Code_3,C207602,http://www.cdisc.org,2024-09-27,IMP Addition,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_4,,TRUE,Code_4,C207603,http://www.cdisc.org,2024-09-27,Inconsistency And/or Error In The Protocol,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_5,,TRUE,Code_5,C207604,http://www.cdisc.org,2024-09-27,Investigator/Site Feedback,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_6,,TRUE,Code_6,C207605,http://www.cdisc.org,2024-09-27,IRB/IEC Feedback,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_7,,TRUE,Code_7,C207606,http://www.cdisc.org,2024-09-27,Manufacturing Change,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_8,,TRUE,Code_8,C207607,http://www.cdisc.org,2024-09-27,New Data Available (Other Than Safety Data),Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_9,,TRUE,Code_9,C207608,http://www.cdisc.org,2024-09-27,New Regulatory Guidance,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_10,,TRUE,Code_10,C207609,http://www.cdisc.org,2024-09-27,New Safety Information Available,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_11,,TRUE,Code_11,C207610,http://www.cdisc.org,2024-09-27,Protocol Design Error,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_12,,TRUE,Code_12,C207611,http://www.cdisc.org,2024-09-27,Recruitment Difficulty,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_13,,TRUE,Code_13,C207612,http://www.cdisc.org,2024-09-27,Regulatory Agency Request To Amend,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_14,Updated inclusion criteria,TRUE,Code_14,C17649,http://www.cdisc.org,2025-09-26,OTHER,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_15,,TRUE,Code_15,C48660,http://www.cdisc.org,2025-09-26,NOT APPLICABLE,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_16,,TRUE,Code_16,C207603,http://www.cdisc.org,2024-09-27,Inconsistency and/or Error In The Protocol,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_17,Updated exclusion criteria,TRUE,Code_17,C17649,http://www.cdisc.org,2025-09-26,Other,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_18,,TRUE,Code_18,C48660,http://www.cdisc.org,2025-09-26,Not Applicable,Code,StudyAmendmentReason
StudyAmendment,StudyAmendment_1,secondaryReasons,definition,StudyAmendmentReason_19,,TRUE,Code_19,C0031X,http://www.cdisc.org,2025-09-26,Extension,Code,StudyAmendmentReason
