parent_entity,parent_id,parent_rel,rel_type,id,name,description,label,dataOriginDescription,instanceType,dataOriginType,dataOriginType.id,dataOriginType.code,dataOriginType.codeSystem,dataOriginType.codeSystemVersion,dataOriginType.decode,type,type.id,type.code,type.codeSystem,type.codeSystemVersion,type.decode,populationIds
StudyDesign,StudyDesign_1,arms,definition,StudyArm_1,ARM1,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_223,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyDesign,StudyDesign_1,arms,definition,StudyArm_2,ARM2,Drug A,Drug A,Data collected from history,StudyArm,True,Code_125,C188864,http://www.cdisc.org,2023-12-15,Historical Data,True,Code_224,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyDesign,StudyDesign_1,arms,definition,StudyArm_3,ARM3,Drug B,Drug B,Data collected from real world,StudyArm,True,Code_126,C165830,http://www.cdisc.org,2024-09-27,Real World Data,True,Code_225,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyDesign,StudyDesign_1,arms,definition,StudyArm_4,ARM4,Drug C,Drug C,Generated data,StudyArm,True,Code_127,C176263,http://www.cdisc.org,2024-09-27,Synthetic Data,True,Code_226,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyDesign,StudyDesign_1,arms,definition,StudyArm_5,ARM5,Drug D,Drug D,Remote data,StudyArm,True,Code_128,C188865,http://www.cdisc.org,2024-09-27,Virtual Data,True,Code_227,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyDesign,StudyDesign_1,arms,definition,StudyArm_6,ARM6,Drug E,Drug E,Extension data,StudyArm,True,Code_129,C0034X,http://www.cdisc.org,2023-12-15,Extension,True,Code_228,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyDesign,StudyDesign_1,arms,definition,StudyArm_7,ARM7,Drug F,Drug F,More extension data,StudyArm,True,Code_130,C0035X,http://www.cdisc.org,2024-09-27,Extension,True,Code_229,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyDesign,StudyDesign_1,arms,definition,StudyArm_8,ARM8,Drug G,Drug G,Data collected from real world,StudyArm,True,Code_131,C165830,http://www.cdisc.org,2025-09-26,Real-world Data,True,Code_230,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_1,armId,reference,StudyArm_1,ARM1,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_223,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_2,armId,reference,StudyArm_1,ARM1,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_223,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_3,armId,reference,StudyArm_1,ARM1,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_223,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_4,armId,reference,StudyArm_1,ARM1,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_223,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
StudyCell,StudyCell_5,armId,reference,StudyArm_1,ARM1,Placebo,Placebo,Data collected from subjects,StudyArm,True,Code_124,C188866,http://www.cdisc.org,2023-12-15,Data Generated Within Study,True,Code_223,C174268,http://www.cdisc.org,2023-12-15,Placebo Comparator Arm,True
