parent_entity,parent_id,parent_rel,rel_type,id,code,codeSystem,codeSystemVersion,decode,instanceType
Encounter,Encounter_1,environmentalSettings,definition,Code_84,C127785,http://www.cdisc.org,2023-12-15,CHILD CARE CENTER,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_85,C51282,http://www.cdisc.org,2023-12-15,CLINIC,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_86,C48953,http://www.cdisc.org,2024-03-29,FARM,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_87,C102650,http://www.cdisc.org,2023-12-15,FIELD,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_88,C21541,http://www.cdisc.org,2023-12-15,HEALTH FACILITY,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_89,C18002,http://www.cdisc.org,2023-12-15,HOME,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_90,C16696,http://www.cdisc.org,2024-03-29,HOSPITAL,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_91,C102647,http://www.cdisc.org,2023-12-15,HOUSEHOLD ENVIRONMENT,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_92,C41206,http://www.cdisc.org,2023-12-15,INSTITUTION,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_93,C181529,http://www.cdisc.org,2023-12-15,MOTOR VEHICLE,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_94,C102679,http://www.cdisc.org,2024-03-29,NON-HOUSEHOLD ENVIRONMENT,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_95,C181530,http://www.cdisc.org,2023-12-15,NOT IN CLINIC,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_96,C16281,http://www.cdisc.org,2023-12-15,OUTPATIENT CLINIC,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_97,C85862,http://www.cdisc.org,2023-12-15,PRISON,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_98,C17118,http://www.cdisc.org,2024-03-29,SCHOOL,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_99,C85863,http://www.cdisc.org,2023-12-15,SHELTER,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_100,C102712,http://www.cdisc.org,2023-12-15,SOCIAL SETTING,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_101,C17556,http://www.cdisc.org,2023-12-15,WORKSITE,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_102,C0018X,http://www.cdisc.org,2024-03-29,Extension,Code
Encounter,Encounter_1,type,definition,Code_103,C25716,http://www.cdisc.org,2023-12-15,Visit,
Encounter,Encounter_1,environmentalSettings,definition,Code_104,C127785,http://www.cdisc.org,2023-12-15,Childcare Center,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_105,C51282,http://www.cdisc.org,2023-12-15,Clinic,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_106,C48953,http://www.cdisc.org,2024-03-29,Farm,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_107,C102650,http://www.cdisc.org,2023-12-15,In the Field,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_108,C21541,http://www.cdisc.org,2023-12-15,Healthcare Facility,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_109,C18002,http://www.cdisc.org,2023-12-15,Home,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_110,C16696,http://www.cdisc.org,2024-03-29,Hospital,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_111,C102647,http://www.cdisc.org,2023-12-15,Household Environment,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_112,C41206,http://www.cdisc.org,2023-12-15,Institution,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_113,C181529,http://www.cdisc.org,2023-12-15,Motor Vehicle,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_114,C102679,http://www.cdisc.org,2024-03-29,Non-household Environment,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_115,C181530,http://www.cdisc.org,2023-12-15,Not In Clinic,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_116,C16281,http://www.cdisc.org,2023-12-15,Ambulatory Care Facility,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_117,C85862,http://www.cdisc.org,2023-12-15,Correctional Institution,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_118,C17118,http://www.cdisc.org,2024-03-29,School,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_119,C85863,http://www.cdisc.org,2023-12-15,Shelter,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_120,C102712,http://www.cdisc.org,2023-12-15,Social Setting,Code
Encounter,Encounter_1,environmentalSettings,definition,Code_121,C17556,http://www.cdisc.org,2023-12-15,Worksite,Code
